evaluation,model,auroc,auprc,balanced_accuracy,mcc,positive_predictions
structure_oof,logistic,0.7366519580805295,0.6478159717173989,0.6982073910645339,0.42173322797292767,181
holdout,logistic,0.6846011131725417,0.4900165516029679,0.6895485466914039,0.3868919202657655,46
external8,logistic,0.7500000000000001,0.5,0.6666666666666666,0.3333333333333333,6
structure_oof,rbf_svc,0.7439419010847582,0.6653811806308384,0.6984831770546056,0.4864273914463298,123
holdout,rbf_svc,0.7237940630797774,0.5325734063380524,0.6178107606679035,0.28951777355370495,28
external8,rbf_svc,0.7500000000000001,0.5,0.6666666666666667,0.3333333333333333,2
structure_oof,random_forest,0.7873414230557088,0.7030015806921315,0.7104155175583746,0.4746032066793463,153
holdout,random_forest,0.6634199134199135,0.496934805760628,0.6688311688311688,0.3885794245399354,33
external8,random_forest,0.6666666666666667,0.45,0.6666666666666667,0.3333333333333333,2
structure_oof,mlp_exploratory,0.6707299135870565,0.5958762899833931,0.6505148005148005,0.44900533890110916,77
holdout,mlp_exploratory,0.7326839826839826,0.5404983391113893,0.560064935064935,0.23363502938075875,10
external8,mlp_exploratory,0.33333333333333337,0.26666666666666666,0.5,0.0,0
structure_oof,xgboost,0.7872127229270087,0.7123280842970507,0.7132285346571061,0.5098308735413216,131
holdout,xgboost,0.6573902288188004,0.5000322360859236,0.6140228818800247,0.27623978146923195,29
external8,xgboost,0.5833333333333334,0.41666666666666663,0.5833333333333333,0.14907119849998599,3
structure_oof,quantum_iqp_zz,0.7438132009560582,0.6696818741399843,0.6701875344732487,0.46789183954502656,93
holdout,quantum_iqp_zz,0.6961966604823748,0.46331813434374397,0.5294526901669759,0.13574265080408549,7
external8,quantum_iqp_zz,0.5,0.39285714285714285,0.5,0.0,0
