evaluation,model,n_molecules,positive_prevalence,auroc,auprc,balanced_accuracy,mcc,accuracy,precision,recall,f1,positive_predictions
holdout,logistic,179,0.3016759776536313,0.6878518518518519,0.5776865826532809,0.6685185185185185,0.337037037037037,0.7206703910614525,0.5370370370370371,0.5370370370370371,0.5370370370370371,54
external,logistic,89,0.30337078651685395,0.6308243727598566,0.5720393365368559,0.6705495818399044,0.34889792782163637,0.7303370786516854,0.56,0.5185185185185185,0.5384615384615384,25
holdout,rbf_svc,179,0.3016759776536313,0.6888888888888889,0.6138344859947742,0.6607407407407407,0.33767826762286873,0.7318435754189944,0.5652173913043478,0.48148148148148145,0.52,46
external,rbf_svc,89,0.30337078651685395,0.6559139784946236,0.5779710277428238,0.6496415770609318,0.3240379644293153,0.7303370786516854,0.5714285714285714,0.4444444444444444,0.5,21
holdout,random_forest,179,0.3016759776536313,0.7645185185185186,0.6717309193298147,0.7510370370370371,0.5532001467324379,0.8212290502793296,0.775,0.5740740740740741,0.6595744680851063,40
external,random_forest,89,0.30337078651685395,0.6845878136200716,0.6412755617131278,0.6851851851851851,0.5391385881688453,0.8089887640449438,1.0,0.37037037037037035,0.5405405405405406,10
holdout,xgboost,179,0.3016759776536313,0.7557037037037035,0.6398652896372773,0.7085185185185185,0.4445629752155877,0.776536312849162,0.6590909090909091,0.5370370370370371,0.5918367346938775,44
external,xgboost,89,0.30337078651685395,0.6857825567502988,0.6083115315745165,0.6367980884109916,0.32754149714153175,0.7415730337078652,0.625,0.37037037037037035,0.46511627906976744,16
holdout,mlp,179,0.3016759776536313,0.7093333333333334,0.5921528926163477,0.6797037037037037,0.4541208277531831,0.7877094972067039,0.7857142857142857,0.4074074074074074,0.5365853658536586,28
external,mlp,89,0.30337078651685395,0.6947431302270012,0.6113291650939638,0.6135005973715651,0.3461303022193085,0.7528089887640449,0.7777777777777778,0.25925925925925924,0.3888888888888889,9
holdout,rbf_matched,179,0.3016759776536313,0.689037037037037,0.6139010395204472,0.6607407407407407,0.33767826762286873,0.7318435754189944,0.5652173913043478,0.48148148148148145,0.52,46
external,rbf_matched,89,0.30337078651685395,0.6559139784946236,0.5779710277428238,0.6496415770609318,0.3240379644293153,0.7303370786516854,0.5714285714285714,0.4444444444444444,0.5,21
holdout,quantum_angle_product,179,0.3016759776536313,0.7112592592592593,0.6027116130727315,0.6725185185185185,0.34689208823982587,0.7262569832402235,0.5471698113207547,0.5370370370370371,0.5420560747663551,53
external,quantum_angle_product,89,0.30337078651685395,0.6762246117084827,0.605879437670535,0.6681600955794504,0.35841149196545646,0.7415730337078652,0.5909090909090909,0.48148148148148145,0.5306122448979592,22
holdout,quantum_iqp_zz_linear,179,0.3016759776536313,0.7062222222222223,0.6148762173783465,0.6739999999999999,0.36553283439913303,0.7430167597765364,0.5869565217391305,0.5,0.54,46
external,quantum_iqp_zz_linear,89,0.30337078651685395,0.6792114695340501,0.6124751895808516,0.6681600955794504,0.35841149196545646,0.7415730337078652,0.5909090909090909,0.48148148148148145,0.5306122448979592,22
