DIAGONAL_ERROR,FEATURE_SCALE,INNER_FOLD,MIN_EIGENVALUE,MODEL,N,OUTER_FOLD,PASS,STAGE,SYMMETRY_ERROR
4.440892098500626e-16,0.125,1,1.3670221822643452e-16,quantum_iqp_zz_linear,431,1,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,0.25,1,1.8310351031323538e-16,quantum_iqp_zz_linear,431,1,True,nested_hpo,5.551115123125783e-16
4.440892098500626e-16,0.5,1,-2.036990924360328e-16,quantum_iqp_zz_linear,431,1,True,nested_hpo,2.7755575615628914e-16
4.440892098500626e-16,1.0,1,-1.5214468801790727e-15,quantum_iqp_zz_linear,431,1,True,nested_hpo,2.7755575615628914e-17
6.661338147750939e-16,0.125,2,4.577373296062127e-09,quantum_iqp_zz_linear,431,1,True,nested_hpo,8.881784197001252e-16
4.440892098500626e-16,0.25,2,9.159510461672522e-07,quantum_iqp_zz_linear,431,1,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,0.5,2,6.138973368092557e-05,quantum_iqp_zz_linear,431,1,True,nested_hpo,5.551115123125783e-16
4.440892098500626e-16,1.0,2,0.0009178643473543406,quantum_iqp_zz_linear,431,1,True,nested_hpo,2.220446049250313e-16
4.440892098500626e-16,0.125,3,2.3842301115096935e-16,quantum_iqp_zz_linear,431,1,True,nested_hpo,8.881784197001252e-16
4.440892098500626e-16,0.25,3,-1.7282948562155828e-16,quantum_iqp_zz_linear,431,1,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,0.5,3,6.863378791750369e-16,quantum_iqp_zz_linear,431,1,True,nested_hpo,1.1102230246251565e-15
4.440892098500626e-16,1.0,3,-1.547373340571312e-15,quantum_iqp_zz_linear,431,1,True,nested_hpo,3.3306690738754696e-16
6.661338147750939e-16,0.125,4,1.2202517416231102e-09,quantum_iqp_zz_linear,432,1,True,nested_hpo,0.0
4.440892098500626e-16,0.25,4,2.458821542927856e-07,quantum_iqp_zz_linear,432,1,True,nested_hpo,0.0
4.440892098500626e-16,0.5,4,2.095599665505377e-05,quantum_iqp_zz_linear,432,1,True,nested_hpo,0.0
4.440892098500626e-16,1.0,4,0.00027315755864565496,quantum_iqp_zz_linear,432,1,True,nested_hpo,0.0
6.661338147750939e-16,0.125,all,-1.1107986397740274e-16,quantum_iqp_zz_linear,575,1,True,nested_outer_fit,9.992007221626409e-16
4.440892098500626e-16,0.125,1,-8.578637797083537e-17,quantum_iqp_zz_linear,457,2,True,nested_hpo,5.551115123125783e-16
6.661338147750939e-16,0.25,1,3.883439528753999e-16,quantum_iqp_zz_linear,457,2,True,nested_hpo,2.220446049250313e-16
4.440892098500626e-16,0.5,1,9.866431654833973e-17,quantum_iqp_zz_linear,457,2,True,nested_hpo,4.163336342344337e-17
4.440892098500626e-16,1.0,1,8.048128114971559e-16,quantum_iqp_zz_linear,457,2,True,nested_hpo,1.0408340855860843e-17
6.661338147750939e-16,0.125,2,1.559628050136498e-09,quantum_iqp_zz_linear,455,2,True,nested_hpo,8.881784197001252e-16
6.661338147750939e-16,0.25,2,4.7317569404398023e-07,quantum_iqp_zz_linear,455,2,True,nested_hpo,6.661338147750939e-16
4.440892098500626e-16,0.5,2,6.308350290040974e-05,quantum_iqp_zz_linear,455,2,True,nested_hpo,5.551115123125783e-16
4.440892098500626e-16,1.0,2,0.0009607036828018653,quantum_iqp_zz_linear,455,2,True,nested_hpo,2.220446049250313e-16
4.440892098500626e-16,0.125,3,1.805370120885682e-09,quantum_iqp_zz_linear,453,2,True,nested_hpo,6.661338147750939e-16
4.440892098500626e-16,0.25,3,5.406740485886289e-07,quantum_iqp_zz_linear,453,2,True,nested_hpo,2.220446049250313e-16
4.440892098500626e-16,0.5,3,0.00011352486725506763,quantum_iqp_zz_linear,453,2,True,nested_hpo,1.3877787807814457e-16
4.440892098500626e-16,1.0,3,0.0012463791890182383,quantum_iqp_zz_linear,453,2,True,nested_hpo,2.7755575615628914e-17
6.661338147750939e-16,0.125,4,-3.7643283507960866e-17,quantum_iqp_zz_linear,456,2,True,nested_hpo,0.0
4.440892098500626e-16,0.25,4,-8.667558187955347e-17,quantum_iqp_zz_linear,456,2,True,nested_hpo,0.0
4.440892098500626e-16,0.5,4,1.0852101416923316e-15,quantum_iqp_zz_linear,456,2,True,nested_hpo,0.0
4.440892098500626e-16,1.0,4,-2.8448338452200005e-15,quantum_iqp_zz_linear,456,2,True,nested_hpo,0.0
4.440892098500626e-16,0.125,all,2.2248003631120267e-19,quantum_iqp_zz_linear,607,2,True,nested_outer_fit,8.881784197001252e-16
6.661338147750939e-16,0.125,1,6.611349806374325e-17,quantum_iqp_zz_linear,424,3,True,nested_hpo,0.0
6.661338147750939e-16,0.25,1,-3.8428120880928525e-17,quantum_iqp_zz_linear,424,3,True,nested_hpo,0.0
4.440892098500626e-16,0.5,1,1.7268383492119238e-16,quantum_iqp_zz_linear,424,3,True,nested_hpo,0.0
4.440892098500626e-16,1.0,1,8.600805840019768e-16,quantum_iqp_zz_linear,424,3,True,nested_hpo,0.0
6.661338147750939e-16,0.125,2,1.7630963186732602e-09,quantum_iqp_zz_linear,422,3,True,nested_hpo,7.771561172376096e-16
6.661338147750939e-16,0.25,2,3.333323555016936e-07,quantum_iqp_zz_linear,422,3,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,0.5,2,2.5781621006116298e-05,quantum_iqp_zz_linear,422,3,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,1.0,2,0.0002839100641435857,quantum_iqp_zz_linear,422,3,True,nested_hpo,1.249000902703301e-16
6.661338147750939e-16,0.125,3,1.659836180152965e-18,quantum_iqp_zz_linear,424,3,True,nested_hpo,0.0
4.440892098500626e-16,0.25,3,5.1342130088489885e-17,quantum_iqp_zz_linear,424,3,True,nested_hpo,0.0
4.440892098500626e-16,0.5,3,-9.105344779144457e-17,quantum_iqp_zz_linear,424,3,True,nested_hpo,0.0
4.440892098500626e-16,1.0,3,-2.5391987966366846e-15,quantum_iqp_zz_linear,424,3,True,nested_hpo,0.0
6.661338147750939e-16,0.125,4,1.6682309378830255e-16,quantum_iqp_zz_linear,425,3,True,nested_hpo,7.771561172376096e-16
6.661338147750939e-16,0.25,4,6.085536195494122e-17,quantum_iqp_zz_linear,425,3,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,0.5,4,5.146058328385433e-16,quantum_iqp_zz_linear,425,3,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,1.0,4,1.217879130674219e-15,quantum_iqp_zz_linear,425,3,True,nested_hpo,3.3306690738754696e-16
6.661338147750939e-16,0.125,all,2.2242697030103677e-16,quantum_iqp_zz_linear,565,3,True,nested_outer_fit,6.661338147750939e-16
6.661338147750939e-16,0.125,1,1.5768432020839119e-09,quantum_iqp_zz_linear,399,4,True,nested_hpo,8.881784197001252e-16
4.440892098500626e-16,0.25,1,2.942750556918571e-07,quantum_iqp_zz_linear,399,4,True,nested_hpo,6.661338147750939e-16
4.440892098500626e-16,0.5,1,2.5277662913373546e-05,quantum_iqp_zz_linear,399,4,True,nested_hpo,2.7755575615628914e-16
4.440892098500626e-16,1.0,1,0.0003434869941238817,quantum_iqp_zz_linear,399,4,True,nested_hpo,4.163336342344337e-17
6.661338147750939e-16,0.125,2,1.5394190302196843e-09,quantum_iqp_zz_linear,398,4,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,0.25,2,4.054016683613456e-07,quantum_iqp_zz_linear,398,4,True,nested_hpo,5.551115123125783e-16
4.440892098500626e-16,0.5,2,7.444355745412578e-05,quantum_iqp_zz_linear,398,4,True,nested_hpo,1.6653345369377348e-16
4.440892098500626e-16,1.0,2,0.002914497707068196,quantum_iqp_zz_linear,398,4,True,nested_hpo,6.938893903907228e-17
6.661338147750939e-16,0.125,3,1.1612515079667371e-09,quantum_iqp_zz_linear,397,4,True,nested_hpo,5.551115123125783e-16
6.661338147750939e-16,0.25,3,2.375301407113366e-07,quantum_iqp_zz_linear,397,4,True,nested_hpo,3.3306690738754696e-16
4.440892098500626e-16,0.5,3,2.3612922742665443e-05,quantum_iqp_zz_linear,397,4,True,nested_hpo,6.938893903907228e-17
2.220446049250313e-16,1.0,3,0.0003184726677176421,quantum_iqp_zz_linear,397,4,True,nested_hpo,1.0408340855860843e-17
8.881784197001252e-16,0.125,4,1.2310238404066406e-09,quantum_iqp_zz_linear,399,4,True,nested_hpo,8.881784197001252e-16
6.661338147750939e-16,0.25,4,2.3238311301002404e-07,quantum_iqp_zz_linear,399,4,True,nested_hpo,6.661338147750939e-16
4.440892098500626e-16,0.5,4,2.1459924314684642e-05,quantum_iqp_zz_linear,399,4,True,nested_hpo,4.440892098500626e-16
4.440892098500626e-16,1.0,4,0.00032511127668265183,quantum_iqp_zz_linear,399,4,True,nested_hpo,1.1102230246251565e-16
4.440892098500626e-16,0.5,all,1.787812612531655e-05,quantum_iqp_zz_linear,531,4,True,nested_outer_fit,2.220446049250313e-16
6.661338147750939e-16,0.125,1,-5.336768185513566e-16,quantum_iqp_zz_linear,429,5,True,nested_hpo,8.881784197001252e-16
4.440892098500626e-16,0.25,1,9.887759244246557e-17,quantum_iqp_zz_linear,429,5,True,nested_hpo,1.1102230246251565e-15
4.440892098500626e-16,0.5,1,-1.509526680984626e-15,quantum_iqp_zz_linear,429,5,True,nested_hpo,6.661338147750939e-16
4.440892098500626e-16,1.0,1,1.3294499115854179e-15,quantum_iqp_zz_linear,429,5,True,nested_hpo,2.220446049250313e-16
6.661338147750939e-16,0.125,2,-5.446492857334481e-16,quantum_iqp_zz_linear,427,5,True,nested_hpo,8.881784197001252e-16
4.440892098500626e-16,0.25,2,3.109386709451401e-17,quantum_iqp_zz_linear,427,5,True,nested_hpo,6.661338147750939e-16
4.440892098500626e-16,0.5,2,-1.899548174051227e-17,quantum_iqp_zz_linear,427,5,True,nested_hpo,2.220446049250313e-16
4.440892098500626e-16,1.0,2,2.6617021985884476e-15,quantum_iqp_zz_linear,427,5,True,nested_hpo,6.938893903907228e-17
6.661338147750939e-16,0.125,3,1.4885334223755928e-09,quantum_iqp_zz_linear,425,5,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,0.25,3,3.503488877753447e-07,quantum_iqp_zz_linear,425,5,True,nested_hpo,2.7755575615628914e-16
4.440892098500626e-16,0.5,3,3.2722306602878065e-05,quantum_iqp_zz_linear,425,5,True,nested_hpo,3.469446951953614e-17
4.440892098500626e-16,1.0,3,0.00039495258407332146,quantum_iqp_zz_linear,425,5,True,nested_hpo,9.540979117872439e-18
4.440892098500626e-16,0.125,4,2.9210007992146864e-16,quantum_iqp_zz_linear,429,5,True,nested_hpo,7.771561172376096e-16
4.440892098500626e-16,0.25,4,-5.607988044464007e-16,quantum_iqp_zz_linear,429,5,True,nested_hpo,3.885780586188048e-16
4.440892098500626e-16,0.5,4,-4.804572969358889e-16,quantum_iqp_zz_linear,429,5,True,nested_hpo,2.0816681711721685e-17
4.440892098500626e-16,1.0,4,5.921329145013759e-16,quantum_iqp_zz_linear,429,5,True,nested_hpo,1.734723475976807e-17
8.881784197001252e-16,0.125,all,6.71420432650702e-20,quantum_iqp_zz_linear,570,5,True,nested_outer_fit,7.771561172376096e-16
0.0,0.125,1,-4.931349546082827e-17,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.25,1,-3.6065277285000175e-16,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.5,1,-3.547509548769691e-16,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,1.0,1,-1.604264308473647e-15,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.125,2,9.645881850052934e-08,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.25,2,1.177928712994361e-05,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.5,2,0.00046802020598744507,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,1.0,2,0.007148157704575272,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.125,3,-5.381826006059622e-16,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.25,3,-1.4275525719162924e-16,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.5,3,-2.2400362272546582e-15,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,1.0,3,-4.718447854656915e-16,iqp_zz_current_20q_duplicate,431,1,True,nested_hpo,0.0
0.0,0.125,4,2.257619327081767e-08,iqp_zz_current_20q_duplicate,432,1,True,nested_hpo,0.0
0.0,0.25,4,3.051863571326386e-06,iqp_zz_current_20q_duplicate,432,1,True,nested_hpo,0.0
0.0,0.5,4,9.191814683657752e-05,iqp_zz_current_20q_duplicate,432,1,True,nested_hpo,0.0
0.0,1.0,4,0.0007194371608444106,iqp_zz_current_20q_duplicate,432,1,True,nested_hpo,0.0
0.0,0.125,all,-2.0917034449736763e-16,iqp_zz_current_20q_duplicate,575,1,True,nested_outer_fit,0.0
0.0,0.125,1,-1.157262391450234e-16,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.25,1,5.109945856710619e-16,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.5,1,-4.779170195057179e-16,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,1.0,1,-1.0313407304290896e-15,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.125,2,9.710724300621561e-08,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.25,2,6.18206609116206e-06,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.5,2,0.00018468122779688112,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,1.0,2,0.0028848795881464273,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.125,3,8.469150955168904e-17,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.25,3,-1.6222552222158847e-16,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.5,3,1.8400785423783178e-16,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,1.0,3,3.5764611166109545e-16,iqp_zz_current_20q_complementary_signed_sqrt,431,1,True,nested_hpo,0.0
0.0,0.125,4,6.665143144284841e-08,iqp_zz_current_20q_complementary_signed_sqrt,432,1,True,nested_hpo,0.0
0.0,0.25,4,4.249899438685536e-06,iqp_zz_current_20q_complementary_signed_sqrt,432,1,True,nested_hpo,0.0
0.0,0.5,4,9.424868046900483e-05,iqp_zz_current_20q_complementary_signed_sqrt,432,1,True,nested_hpo,0.0
0.0,1.0,4,0.0007228414569963016,iqp_zz_current_20q_complementary_signed_sqrt,432,1,True,nested_hpo,0.0
0.0,0.125,all,-2.0992022495561464e-17,iqp_zz_current_20q_complementary_signed_sqrt,575,1,True,nested_outer_fit,0.0
0.0,0.125,1,-2.7887961055978978e-18,iqp_zz_current_20q_duplicate,457,2,True,nested_hpo,0.0
0.0,0.25,1,-2.854962665203247e-16,iqp_zz_current_20q_duplicate,457,2,True,nested_hpo,0.0
0.0,0.5,1,3.122502256749518e-17,iqp_zz_current_20q_duplicate,457,2,True,nested_hpo,0.0
0.0,1.0,1,6.7091630861448444e-15,iqp_zz_current_20q_duplicate,457,2,True,nested_hpo,0.0
0.0,0.125,2,3.8999476911801014e-08,iqp_zz_current_20q_duplicate,455,2,True,nested_hpo,0.0
0.0,0.25,2,8.902885728084752e-06,iqp_zz_current_20q_duplicate,455,2,True,nested_hpo,0.0
0.0,0.5,2,0.00048231669152883446,iqp_zz_current_20q_duplicate,455,2,True,nested_hpo,0.0
0.0,1.0,2,0.007586123681912437,iqp_zz_current_20q_duplicate,455,2,True,nested_hpo,0.0
0.0,0.125,3,4.7552868402509686e-08,iqp_zz_current_20q_duplicate,453,2,True,nested_hpo,0.0
0.0,0.25,3,1.0183929449491867e-05,iqp_zz_current_20q_duplicate,453,2,True,nested_hpo,0.0
0.0,0.5,3,0.0007870098368298096,iqp_zz_current_20q_duplicate,453,2,True,nested_hpo,0.0
