AUPRC,AUROC,BALANCED_ACCURACY,FN,FP,INNER_AUROC_MEAN,INNER_AUROC_SD,MCC,MODEL,N_TRAIN,N_VALIDATION,OUTER_FOLD,SENSITIVITY,SPECIFICITY,THRESHOLD,TN,TP
0.5016572288270607,0.5801546391752577,0.5903350515463918,27,14,0.8067852561900182,0.0430922482057872,0.2065018422790953,quantum_iqp_zz_linear,575,137,1,0.325,0.8556701030927835,0.18260755653527475,83,13
0.5706655566793262,0.647456279809221,0.6327503974562798,25,4,0.7455693562039991,0.10767741868774985,0.3529117753900848,quantum_iqp_zz_linear,607,105,2,0.32432432432432434,0.9411764705882353,0.1769772718214202,64,12
0.7408981220061456,0.8285012285012285,0.6576167076167077,25,1,0.7104293204391645,0.11820838815403482,0.48184280284144393,quantum_iqp_zz_linear,565,147,3,0.32432432432432434,0.990909090909091,0.43582441750255496,109,12
0.6464894074649665,0.7001944984717976,0.6186440677966102,45,0,0.7096252460181923,0.14972749818398015,0.41635107639659596,quantum_iqp_zz_linear,531,181,4,0.23728813559322035,1.0,0.06535323416911916,122,14
0.7676662719334247,0.8086460390607856,0.7631116962914197,19,8,0.7269897232960126,0.053740423929951604,0.5650686281395405,quantum_iqp_zz_linear,570,142,5,0.6122448979591837,0.9139784946236559,0.06840351123842597,85,30
0.5016572288270607,0.5801546391752577,0.5903350515463918,27,14,0.8067852561900182,0.0430922482057872,0.2065018422790953,iqp_zz_current_20q_idle_control,575,137,1,0.325,0.8556701030927835,0.18260755653527475,83,13
0.5706655566793262,0.647456279809221,0.6327503974562798,25,4,0.7455693562039991,0.10767741868774985,0.3529117753900848,iqp_zz_current_20q_idle_control,607,105,2,0.32432432432432434,0.9411764705882353,0.1769772718214202,64,12
0.7408981220061456,0.8285012285012285,0.6576167076167077,25,1,0.7104293204391645,0.11820838815403482,0.48184280284144393,iqp_zz_current_20q_idle_control,565,147,3,0.32432432432432434,0.990909090909091,0.43582441750255496,109,12
0.6464894074649665,0.7001944984717976,0.6186440677966102,45,0,0.7096252460181923,0.14972749818398015,0.41635107639659596,iqp_zz_current_20q_idle_control,531,181,4,0.23728813559322035,1.0,0.06535323416911916,122,14
0.7676662719334247,0.8086460390607856,0.7631116962914197,19,8,0.7269897232960126,0.053740423929951604,0.5650686281395405,iqp_zz_current_20q_idle_control,570,142,5,0.6122448979591837,0.9139784946236559,0.06840351123842597,85,30
0.4845008778224055,0.572938144329897,0.5992268041237113,30,5,0.8019865170486288,0.043343171500425555,0.2889677108198363,iqp_zz_current_20q_duplicate,575,137,1,0.25,0.9484536082474226,0.8142010192925456,92,10
0.5163847933865751,0.5804123711340206,0.5925257731958763,26,16,0.7970256394169437,0.04729453444598561,0.20344923690360678,iqp_zz_current_20q_complementary_signed_sqrt,575,137,1,0.35,0.8350515463917526,0.07311033817959534,81,14
0.5805593060869656,0.6657392686804452,0.6192368839427663,26,4,0.7395927583896456,0.10447460167328243,0.325558506696506,iqp_zz_current_20q_duplicate,607,105,2,0.2972972972972973,0.9411764705882353,0.6404579946990248,64,11
0.5862547596462985,0.6748807631160573,0.6462639109697933,24,4,0.7300234639617582,0.11397571487110524,0.37936450956127005,iqp_zz_current_20q_complementary_signed_sqrt,607,105,2,0.35135135135135137,0.9411764705882353,0.2600255075574885,64,13
0.7030260478004425,0.8105651105651106,0.6576167076167077,25,1,0.6970417559277471,0.12680573599003572,0.48184280284144393,iqp_zz_current_20q_duplicate,565,147,3,0.32432432432432434,0.990909090909091,0.5297393622045521,109,12
0.7354729503822821,0.8142506142506142,0.6576167076167077,25,1,0.6921146203563951,0.1184688272346167,0.48184280284144393,iqp_zz_current_20q_complementary_signed_sqrt,565,147,3,0.32432432432432434,0.990909090909091,0.6715404963362874,109,12
0.703446313580022,0.747985551542095,0.6271186440677966,44,0,0.7111781614582922,0.13026514762495042,0.4322604438071749,iqp_zz_current_20q_duplicate,531,181,4,0.2542372881355932,1.0,0.6604132292522435,122,15
0.7050824562061347,0.7610447346485135,0.652542372881356,41,0,0.703085563199187,0.12899556177292218,0.47785524788666633,iqp_zz_current_20q_complementary_signed_sqrt,531,181,4,0.3050847457627119,1.0,-0.042525596571552624,122,18
0.7624490611347895,0.826640333552776,0.7684880403774412,19,7,0.72521840746011,0.03526299758102712,0.5815659129417781,iqp_zz_current_20q_duplicate,570,142,5,0.6122448979591837,0.9247311827956989,0.35285755194636653,86,30
0.7614642709112037,0.8185209567698047,0.7786921220100944,18,7,0.7209905998905539,0.0398884585092377,0.5985297395639837,iqp_zz_current_20q_complementary_signed_sqrt,570,142,5,0.6326530612244898,0.9247311827956989,0.3368541965407621,86,31
