BEST_PARAMS,INNER_AUROC_MEAN,INNER_AUROC_SD,INNER_THRESHOLD_BA,INNER_THRESHOLD_MCC,MODEL,OUTER_FOLD,THRESHOLD
"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.8067852561900182,0.0430922482057872,0.7395632357464419,0.5571271194121862,quantum_iqp_zz_linear,1,0.18260755653527475
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7455693562039991,0.10767741868774985,0.6866337901882925,0.5026616856907025,quantum_iqp_zz_linear,2,0.1769772718214202
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7104293204391645,0.11820838815403482,0.6718705547652917,0.4781371967809245,quantum_iqp_zz_linear,3,0.43582441750255496
"{""C"": 0.1, ""feature_scale"": 0.5, ""interaction_strength"": 1.0}",0.7096252460181923,0.14972749818398015,0.6639770605494799,0.4615100550116057,quantum_iqp_zz_linear,4,0.06535323416911916
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7269897232960126,0.053740423929951604,0.6879413520478734,0.47830595973682105,quantum_iqp_zz_linear,5,0.06840351123842597
"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.8067852561900182,0.0430922482057872,0.7395632357464419,0.5571271194121862,iqp_zz_current_20q_idle_control,1,0.18260755653527475
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7455693562039991,0.10767741868774985,0.6866337901882925,0.5026616856907025,iqp_zz_current_20q_idle_control,2,0.1769772718214202
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7104293204391645,0.11820838815403482,0.6718705547652917,0.4781371967809245,iqp_zz_current_20q_idle_control,3,0.43582441750255496
"{""C"": 0.1, ""feature_scale"": 0.5, ""interaction_strength"": 1.0}",0.7096252460181923,0.14972749818398015,0.6639770605494799,0.4615100550116057,iqp_zz_current_20q_idle_control,4,0.06535323416911916
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7269897232960126,0.053740423929951604,0.6879413520478734,0.47830595973682105,iqp_zz_current_20q_idle_control,5,0.06840351123842597
"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.8019865170486288,0.043343171500425555,0.7136216201101697,0.5519520524278623,iqp_zz_current_20q_duplicate,1,0.8142010192925456
"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7970256394169437,0.04729453444598561,0.7539076699382044,0.5662073470129398,iqp_zz_current_20q_complementary_signed_sqrt,1,0.07311033817959534
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7395927583896456,0.10447460167328243,0.6781926476239273,0.49568731985231507,iqp_zz_current_20q_duplicate,2,0.6404579946990248
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7300234639617582,0.11397571487110524,0.6911873959267325,0.49992669559006553,iqp_zz_current_20q_complementary_signed_sqrt,2,0.2600255075574885
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.6970417559277471,0.12680573599003572,0.6692389758179232,0.4655290862984109,iqp_zz_current_20q_duplicate,3,0.5297393622045521
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.6921146203563951,0.1184688272346167,0.6705547652916074,0.47178360493773047,iqp_zz_current_20q_complementary_signed_sqrt,3,0.6715404963362874
"{""C"": 1.0, ""feature_scale"": 0.25, ""interaction_strength"": 1.0}",0.7111781614582922,0.13026514762495042,0.6714707255268071,0.47944550184046675,iqp_zz_current_20q_duplicate,4,0.6604132292522435
"{""C"": 0.1, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.703085563199187,0.12899556177292218,0.6885169378500934,0.5050145780257503,iqp_zz_current_20q_complementary_signed_sqrt,4,-0.042525596571552624
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.72521840746011,0.03526299758102712,0.6678557388506282,0.467417585248597,iqp_zz_current_20q_duplicate,5,0.35285755194636653
"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7209905998905539,0.0398884585092377,0.6752668132380134,0.4767764105470726,iqp_zz_current_20q_complementary_signed_sqrt,5,0.3368541965407621
