REPLICATE,LEFT_MODEL,RIGHT_MODEL,MCC_DELTA
1,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
1,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.031607011060488965
1,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.024027667779636497
1,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0075793432808524686
2,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
2,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.024861987191364454
2,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.014238137390067906
2,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.010623849801296548
3,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
3,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.03954455602395868
3,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.012309594818878222
3,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.027234961205080455
4,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
4,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.019527650932545715
4,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.022619502731127783
4,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.003091851798582068
5,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
5,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.00753527213025057
5,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.016678894802009514
5,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.009143622671758944
6,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
6,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.07333584552670866
6,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.02187562625944675
6,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.05146021926726191
7,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
7,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.009361143496489477
7,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.021749135869416958
7,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.012387992372927481
8,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
8,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.02602808377526994
8,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.034597626791638136
8,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.008569543016368197
9,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
9,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.015029373695824133
9,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.009863636595524805
9,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.005165737100299328
10,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
10,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.05733042774925551
10,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.039238955516068985
10,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.018091472233186523
11,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
11,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.0036853738175164907
11,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.03650571479202397
11,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.04019108860954046
12,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
12,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,-0.01623941782875471
12,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.016148762363985658
12,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.03238818019274037
13,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
13,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.013561690992113185
13,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.012797104393087788
13,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0007645865990253964
14,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
14,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.04024681552492282
14,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.021096376668262917
14,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0191504388566599
15,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
15,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.0410649081104793
15,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.028453454777449816
15,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.012611453333029488
16,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
16,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.044131330501005206
16,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.024354190307564083
16,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.019777140193441123
17,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
17,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.022543517481855346
17,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.05191815572537861
17,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.029374638243523266
18,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
18,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.029938311778071713
18,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.028603305328145923
18,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0013350064499257908
19,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
19,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.00936609494547469
19,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.02242824999740617
19,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.013062155051931479
20,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
20,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.03231556886842646
20,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.02547474493926427
20,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0068408239291621875
21,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
21,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.028537417553900546
21,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.022472494523877395
21,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.0060649230300231505
22,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
22,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.011389136777819553
22,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.05817907453652693
22,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,0.04678993775870738
23,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
23,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.05385533386724756
23,iqp_zz_current_20q_complementary_signed_sqrt,quantum_iqp_zz_linear,0.04780685443030264
23,iqp_zz_current_20q_complementary_signed_sqrt,iqp_zz_current_20q_duplicate,-0.00604847943694492
24,iqp_zz_current_20q_idle_control,quantum_iqp_zz_linear,0.0
24,iqp_zz_current_20q_duplicate,quantum_iqp_zz_linear,0.046165018781618744
