MODEL,STAGE,OUTER_FOLD,INNER_FOLD,FEATURE_SCALE,N,SYMMETRY_ERROR,DIAGONAL_ERROR,MIN_EIGENVALUE,PASS
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,1,0.125,575,9.992007221626409e-16,6.661338147750939e-16,-1.1107986397740274e-16,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,1,0.25,575,7.771561172376096e-16,8.881784197001252e-16,7.798749984857497e-17,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,1,0.5,575,4.440892098500626e-16,4.440892098500626e-16,4.7296036756189485e-18,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,1,1.0,575,3.885780586188048e-16,4.440892098500626e-16,-2.0808605142967873e-15,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,2,0.125,607,8.881784197001252e-16,4.440892098500626e-16,2.2248003631120267e-19,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,2,0.25,607,8.881784197001252e-16,6.661338147750939e-16,-1.6690070067551134e-16,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,2,0.5,607,6.661338147750939e-16,4.440892098500626e-16,3.2814564596390684e-16,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,2,1.0,607,2.7755575615628914e-16,4.440892098500626e-16,4.263397244375994e-15,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,3,0.125,565,6.661338147750939e-16,6.661338147750939e-16,2.2242697030103677e-16,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,3,0.25,565,4.440892098500626e-16,6.661338147750939e-16,-1.290286185763128e-17,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,3,0.5,565,8.326672684688674e-17,4.440892098500626e-16,2.8571543399424994e-17,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,3,1.0,565,1.474514954580286e-17,4.440892098500626e-16,-3.611623208533326e-15,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,4,0.125,531,7.771561172376096e-16,4.440892098500626e-16,4.715367091917073e-10,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,4,0.25,531,6.661338147750939e-16,6.661338147750939e-16,1.3101407368018274e-07,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,4,0.5,531,2.220446049250313e-16,4.440892098500626e-16,1.787812612531655e-05,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,4,1.0,531,9.71445146547012e-17,4.440892098500626e-16,0.00030727514856135726,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,5,0.125,570,7.771561172376096e-16,8.881784197001252e-16,6.71420432650702e-20,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,5,0.25,570,7.771561172376096e-16,6.661338147750939e-16,-8.57312973517667e-18,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,5,0.5,570,7.771561172376096e-16,6.661338147750939e-16,4.09217697209648e-16,True
quantum_iqp_zz_linear,cr8_final_selection_hpo,all_development,5,1.0,570,2.7755575615628914e-16,4.440892098500626e-16,-1.3928221009761815e-17,True
quantum_iqp_zz_linear,cr8_full_development_fit,all_development,all,0.125,712,0.0,6.661338147750939e-16,1.1547778849627347e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,1,0.125,575,0.0,0.0,-2.0917034449736763e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,1,0.25,575,0.0,0.0,-4.4142663679691664e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,1,0.5,575,0.0,0.0,1.1301723440614344e-15,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,1,1.0,575,0.0,0.0,-1.3295434127731404e-15,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,2,0.125,607,0.0,0.0,2.701974965452172e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,2,0.25,607,0.0,0.0,-1.3716257715272716e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,2,0.5,607,0.0,0.0,-1.513094665315338e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,2,1.0,607,0.0,0.0,-1.1995620923831099e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,3,0.125,565,0.0,0.0,-1.7757754896000714e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,3,0.25,565,0.0,0.0,-4.2996089674325414e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,3,0.5,565,0.0,0.0,7.126490252462706e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,3,1.0,565,0.0,0.0,1.1040999263485287e-15,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,4,0.125,531,0.0,0.0,1.160318200949037e-08,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,4,0.25,531,0.0,0.0,2.199786278423544e-06,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,4,0.5,531,0.0,0.0,9.320408885986247e-05,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,4,1.0,531,0.0,0.0,0.0007978352981534475,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,5,0.125,570,0.0,0.0,2.3473913125287003e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,5,0.25,570,0.0,0.0,3.629588511255538e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,5,0.5,570,0.0,0.0,5.872657372562824e-16,True
iqp_zz_current_20q_duplicate,cr8_final_selection_hpo,all_development,5,1.0,570,0.0,0.0,-1.4383657301171748e-15,True
iqp_zz_current_20q_duplicate,cr8_full_development_fit,all_development,all,0.125,712,0.0,0.0,1.2732300810491406e-16,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,1,0.125,575,0.0,0.0,-2.0992022495561464e-17,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,1,0.25,575,0.0,0.0,-3.4741689739782176e-16,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,1,0.5,575,0.0,0.0,-8.359816193352369e-16,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,1,1.0,575,0.0,0.0,-3.2615535742245715e-16,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,2,0.125,607,0.0,0.0,-3.340903247449848e-17,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,2,0.25,607,0.0,0.0,7.852484548690938e-18,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,2,0.5,607,0.0,0.0,-3.758139239786955e-16,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,2,1.0,607,0.0,0.0,2.261925332086695e-15,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,3,0.125,565,0.0,0.0,1.6865504499201808e-16,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,3,0.25,565,0.0,0.0,-1.082391648159206e-16,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,3,0.5,565,0.0,0.0,-4.494765123807849e-16,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,3,1.0,565,0.0,0.0,-3.724525347482874e-15,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,4,0.125,531,0.0,0.0,4.065336899648113e-08,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,4,0.25,531,0.0,0.0,3.1858888113021456e-06,True
iqp_zz_current_20q_complementary_signed_sqrt,cr8_final_selection_hpo,all_development,4,0.5,531,0.0,0.0,9.566306621498847e-05,True
