PAIR_INDEX,LEFT_INDEX,RIGHT_INDEX,LEFT_FEATURE,RIGHT_FEATURE,CANONICAL_PAIR
1,0,1,MolLogP,MolWt,MolLogP__MolWt
2,0,2,MolLogP,TPSA_SP,MolLogP__TPSA_SP
3,0,3,MolLogP,NumHDonors,MolLogP__NumHDonors
4,0,4,MolLogP,NumRotatableBonds,MolLogP__NumRotatableBonds
5,0,5,MolLogP,NumAromaticRings,MolLogP__NumAromaticRings
6,0,6,MolLogP,nHalogen,MolLogP__nHalogen
7,0,7,MolLogP,n_OP,MolLogP__n_OP
8,0,8,MolLogP,LiPHEX_prediction,MolLogP__LiPHEX_prediction
9,0,9,MolLogP,sasa002_frac_polar_hetero_only,MolLogP__sasa002_frac_polar_hetero_only
10,1,2,MolWt,TPSA_SP,MolWt__TPSA_SP
11,1,3,MolWt,NumHDonors,MolWt__NumHDonors
12,1,4,MolWt,NumRotatableBonds,MolWt__NumRotatableBonds
13,1,5,MolWt,NumAromaticRings,MolWt__NumAromaticRings
14,1,6,MolWt,nHalogen,MolWt__nHalogen
15,1,7,MolWt,n_OP,MolWt__n_OP
16,1,8,MolWt,LiPHEX_prediction,MolWt__LiPHEX_prediction
17,1,9,MolWt,sasa002_frac_polar_hetero_only,MolWt__sasa002_frac_polar_hetero_only
18,2,3,TPSA_SP,NumHDonors,TPSA_SP__NumHDonors
19,2,4,TPSA_SP,NumRotatableBonds,TPSA_SP__NumRotatableBonds
20,2,5,TPSA_SP,NumAromaticRings,TPSA_SP__NumAromaticRings
21,2,6,TPSA_SP,nHalogen,TPSA_SP__nHalogen
22,2,7,TPSA_SP,n_OP,TPSA_SP__n_OP
23,2,8,TPSA_SP,LiPHEX_prediction,TPSA_SP__LiPHEX_prediction
24,2,9,TPSA_SP,sasa002_frac_polar_hetero_only,TPSA_SP__sasa002_frac_polar_hetero_only
25,3,4,NumHDonors,NumRotatableBonds,NumHDonors__NumRotatableBonds
26,3,5,NumHDonors,NumAromaticRings,NumHDonors__NumAromaticRings
27,3,6,NumHDonors,nHalogen,NumHDonors__nHalogen
28,3,7,NumHDonors,n_OP,NumHDonors__n_OP
29,3,8,NumHDonors,LiPHEX_prediction,NumHDonors__LiPHEX_prediction
30,3,9,NumHDonors,sasa002_frac_polar_hetero_only,NumHDonors__sasa002_frac_polar_hetero_only
31,4,5,NumRotatableBonds,NumAromaticRings,NumRotatableBonds__NumAromaticRings
32,4,6,NumRotatableBonds,nHalogen,NumRotatableBonds__nHalogen
33,4,7,NumRotatableBonds,n_OP,NumRotatableBonds__n_OP
34,4,8,NumRotatableBonds,LiPHEX_prediction,NumRotatableBonds__LiPHEX_prediction
35,4,9,NumRotatableBonds,sasa002_frac_polar_hetero_only,NumRotatableBonds__sasa002_frac_polar_hetero_only
36,5,6,NumAromaticRings,nHalogen,NumAromaticRings__nHalogen
37,5,7,NumAromaticRings,n_OP,NumAromaticRings__n_OP
38,5,8,NumAromaticRings,LiPHEX_prediction,NumAromaticRings__LiPHEX_prediction
39,5,9,NumAromaticRings,sasa002_frac_polar_hetero_only,NumAromaticRings__sasa002_frac_polar_hetero_only
40,6,7,nHalogen,n_OP,nHalogen__n_OP
41,6,8,nHalogen,LiPHEX_prediction,nHalogen__LiPHEX_prediction
42,6,9,nHalogen,sasa002_frac_polar_hetero_only,nHalogen__sasa002_frac_polar_hetero_only
43,7,8,n_OP,LiPHEX_prediction,n_OP__LiPHEX_prediction
44,7,9,n_OP,sasa002_frac_polar_hetero_only,n_OP__sasa002_frac_polar_hetero_only
45,8,9,LiPHEX_prediction,sasa002_frac_polar_hetero_only,LiPHEX_prediction__sasa002_frac_polar_hetero_only
