ARM,AUPRC,AUROC,BALANCED_ACCURACY,C,EXPLORATORY_OUTER_RESULT,FN,FP,KERNEL_PARAMS,LEFT_FEATURE,MCC,OUTER_FOLD,PAIR,PAIR_INDEX,RIGHT_FEATURE,SENSITIVITY,SPECIFICITY,THRESHOLD,TN,TP,USED_FOR_PATH_SELECTION
pair_phase_no_zz,0.24789758422813574,0.4038659793814433,0.46224226804123714,100.0,True,29,34,"{""feature_scale"": 0.25}",MolLogP,-0.07310575842528415,1,MolLogP__MolWt,1,MolWt,0.275,0.6494845360824743,0.27483749540478486,63,11,False
pair_iqp_zz,0.246930139698949,0.41056701030927834,0.465979381443299,100.0,True,32,26,"{""feature_scale"": 0.25}",MolLogP,-0.07161928701403066,1,MolLogP__MolWt,1,MolWt,0.2,0.7319587628865979,0.40044481571080226,71,8,False
pair_rbf_control,0.2942331185337085,0.48634020618556695,0.4800257731958763,100.0,True,35,16,"{""gamma"": 0.03}",MolLogP,-0.050417022455061085,1,MolLogP__MolWt,1,MolWt,0.125,0.8350515463917526,0.8006101966169137,81,5,False
pair_phase_no_zz,0.36261940860303943,0.5520618556701031,0.5322164948453608,1.0,True,30,18,"{""feature_scale"": 0.5}",MolLogP,0.07264937479983895,1,MolLogP__TPSA_SP,2,TPSA_SP,0.25,0.8144329896907216,0.6367275414510429,79,10,False
pair_iqp_zz,0.35043856590947986,0.5438144329896908,0.4990979381443299,1.0,True,31,22,"{""feature_scale"": 0.5}",MolLogP,-0.0019604167191014242,1,MolLogP__TPSA_SP,2,TPSA_SP,0.225,0.7731958762886598,0.5863856992402657,75,9,False
pair_rbf_control,0.3315416386870317,0.5414948453608248,0.5300257731958763,10.0,True,31,16,"{""gamma"": 0.3}",MolLogP,0.07069049822308499,1,MolLogP__TPSA_SP,2,TPSA_SP,0.225,0.8350515463917526,0.6828114560405487,81,9,False
pair_phase_no_zz,0.25876036312245915,0.3829896907216495,0.4061855670103093,1.0,True,24,57,"{""feature_scale"": 0.5}",MolLogP,-0.17098739641590122,1,MolLogP__NumHDonors,3,NumHDonors,0.4,0.41237113402061853,0.06141458684565221,40,16,False
pair_iqp_zz,0.29585160972043234,0.4126288659793814,0.38414948453608244,1.0,True,27,54,"{""feature_scale"": 0.125}",MolLogP,-0.21074506208903,1,MolLogP__NumHDonors,3,NumHDonors,0.325,0.44329896907216493,0.3493423058311752,43,13,False
pair_rbf_control,0.2940152959238559,0.4072164948453608,0.361340206185567,1.0,True,28,56,"{""gamma"": 0.01}",MolLogP,-0.25218392906144305,1,MolLogP__NumHDonors,3,NumHDonors,0.3,0.422680412371134,0.22352288884409188,41,12,False
pair_phase_no_zz,0.44514827275051083,0.5128865979381443,0.4672680412371134,0.1,True,22,50,"{""feature_scale"": 0.25}",MolLogP,-0.05953040704610273,1,MolLogP__NumRotatableBonds,4,NumRotatableBonds,0.45,0.4845360824742268,-0.0028597729266171823,47,18,False
pair_iqp_zz,0.2907940176155349,0.4744845360824742,0.4798969072164948,100.0,True,28,33,"{""feature_scale"": 0.25}",MolLogP,-0.038923202438035244,1,MolLogP__NumRotatableBonds,4,NumRotatableBonds,0.3,0.6597938144329897,0.617114944626408,64,12,False
