PAIR_INDEX,PAIR,MEAN_INNER_DELTA,SD_INNER_DELTA,POSITIVE_INNER_FOLD_COUNT,TOTAL_INNER_FOLDS,STABLE_SCORE,LEAVE_ONE_POSITION_MEANS,LEAVE_ONE_POSITION_RANGE,RANK_BY_MEAN,RANK_BY_STABILITY
7,MolLogP__n_OP,0.04267262999091315,0.07285042942574446,8,20,0.006247415278040916,"[0.060266853865612445, 0.041744277772660654, 0.03471428418159972, 0.033965104143779755]",0.02630174972183269,1,1
4,MolLogP__NumRotatableBonds,0.024297432611053014,0.07060703960440198,13,20,-0.011006087191147977,"[0.02603410933501619, 0.036446751257782836, 0.009965100970243014, 0.024743768881170018]",0.02648165028753982,2,10
45,LiPHEX_prediction__sasa002_frac_polar_hetero_only,0.020461982493865542,0.06860595271678768,13,20,-0.013840993864528299,"[0.01764826636331592, 0.03299563101428007, 0.024441012584443443, 0.006763020013422735]",0.02623261100085733,3,13
34,NumRotatableBonds__LiPHEX_prediction,0.015367747099969391,0.07348443230751503,9,20,-0.021374469053788123,"[0.011139710407849288, 0.021937183566653803, 0.005176032412965461, 0.023218062012409012]",0.01804202959944355,4,17
8,MolLogP__LiPHEX_prediction,0.014675638008263645,0.056594372768581896,10,20,-0.013621548376027304,"[0.013256092747615932, 0.017592312574647915, 0.01999994948494344, 0.007854197225847287]",0.012145752259096152,5,12
28,NumHDonors__n_OP,0.014042849424409032,0.03735441404119675,7,20,-0.004634357596189343,"[0.008539564791411058, 0.017101381832938287, 0.015873385191301128, 0.014657065881985653]",0.008561817041527229,6,2
17,MolWt__sasa002_frac_polar_hetero_only,0.012232947712257164,0.07962215146814998,12,20,-0.027578128021817826,"[-0.002384966132773217, -0.0031831671479939047, 0.025561401436477053, 0.02893852269331874]",0.032121689841312646,7,18
15,MolWt__n_OP,0.011400498430055181,0.04061431307491808,6,20,-0.008906658107403858,"[0.008630303830570844, 0.014172256019494737, 0.002618712972358355, 0.020180720897796788]",0.017562007925438432,8,7
30,NumHDonors__sasa002_frac_polar_hetero_only,0.00950130966313922,0.07759349605780767,8,20,-0.029295438365764617,"[0.026918938337192205, -0.017705870119979008, 0.017267827206394908, 0.011524343228948785]",0.04462480845717121,9,23
39,NumAromaticRings__sasa002_frac_polar_hetero_only,0.009345530795756316,0.10533369294095778,10,20,-0.04332131567472257,"[-0.004412568292271402, 0.027524600637970423, 0.00815781017175597, 0.006112280665570264]",0.03193716893024182,10,33
35,NumRotatableBonds__sasa002_frac_polar_hetero_only,0.008651753937489116,0.07394575840309982,11,20,-0.028321125264060793,"[0.006413257790472187, 0.009601061785877146, -0.0018873572061531, 0.020480053379760235]",0.022367410585913336,11,22
1,MolLogP__MolWt,0.008372645642713877,0.12212408743806809,6,20,-0.05268939807632017,"[0.02582558450203235, -0.014504134319565298, 0.01321955676112585, 0.008949575627262603]",0.040329718821597645,12,38
38,NumAromaticRings__LiPHEX_prediction,0.007048278269510768,0.09133208543286919,12,20,-0.03861776444692383,"[0.003583685426213388, 0.006438127744781713, 0.008450012933653916, 0.009721286973394052]",0.006137601547180664,13,31
11,MolWt__NumHDonors,0.006724809217438207,0.04027837492125035,9,20,-0.013414378243186968,"[0.005548663494200755, 0.006676292448370907, 0.00868523530175829, 0.005989045625422885]",0.003136571807557535,14,11
14,MolWt__nHalogen,0.006262827766945195,0.10440526174079703,10,20,-0.045939803103453324,"[0.01164359653833371, -0.009663459363862776, 0.0014036820274082207, 0.021667491865901622]",0.0313309512297644,15,34
10,MolWt__TPSA_SP,0.005883364700965367,0.10849579874503161,11,20,-0.04836453467155044,"[-0.009960461408335345, -0.003837554222044985, 0.020900518224919652, 0.016430956209322143]",0.030860979633254997,16,36
40,nHalogen__n_OP,0.00587071075011158,0.0276777739055513,8,20,-0.00796817620266407,"[0.003087794145828186, 0.0010349709324799763, 0.0076095831049398654, 0.01175049481719829]",0.010715523884718314,17,5
19,TPSA_SP__NumRotatableBonds,0.005829335685492781,0.05336751184689148,8,20,-0.020854420237952958,"[-0.0041486647170753815, 0.019063175850500092, 0.007472110138671417, 0.0009307214698749965]",0.023211840567575474,18,16
26,NumHDonors__NumAromaticRings,0.005431101725930909,0.02519659190366821,6,20,-0.007167194225903196,"[0.008830936242264237, 0.0002615945294485222, 0.006502449109848252, 0.006129427022162626]",0.008569341712815716,19,4
33,NumRotatableBonds__n_OP,0.004884294095072588,0.028176156538548807,7,20,-0.009203784174201816,"[0.00019323483656787747, 0.005968115323871091, 0.00971283415642774, 0.0036629920634236404]",0.009519599319859863,20,9
2,MolLogP__TPSA_SP,0.0028540339396145005,0.06203454317391954,7,20,-0.028163237647345272,"[-0.010604271677245316, 0.0016190696534932195, 0.007352876851556987, 0.013048460930653111]",0.02365273260789843,21,21
24,TPSA_SP__sasa002_frac_polar_hetero_only,0.0027372186771998028,0.07457719583066505,10,20,-0.03455137923813272,"[-0.0036659722186961194, 0.006976649409946201, 0.016980508227423984, -0.009342310709874855]",0.02632281893729884,22,27
