FEATURE,MolLogP,MolWt,TPSA_SP,NumHDonors,NumRotatableBonds,NumAromaticRings,nHalogen,n_OP,LiPHEX_prediction,sasa002_frac_polar_hetero_only
MolLogP,0.0,-0.03999608545264877,-0.02445307441620344,-0.05222183415649748,-0.007657910498641035,-0.04426514857875828,-0.03466262021274563,0.016265861377190376,-0.008479935297134584,-0.0243099549025
MolWt,-0.03999608545264877,0.0,-0.051437138518104684,-0.010829360262243421,-0.05888236905214515,-0.03190401274113304,-0.03668745265873464,-0.004075496439397116,-0.0655444595622909,-0.02382740965453062
TPSA_SP,-0.02445307441620344,-0.051437138518104684,0.0,-0.031975630771487365,-0.02086345311634476,-0.0249728846745658,-0.02845060110187863,-0.0052653475463283455,-0.07056627655785352,-0.028357641270110694
NumHDonors,-0.05222183415649748,-0.010829360262243421,-0.031975630771487365,0.0,-0.007261256473225805,-0.003972898965747469,-0.020578932462323268,0.0027668524124550976,-0.06281618976367107,-0.026519957477919687
NumRotatableBonds,-0.007657910498641035,-0.05888236905214515,-0.02086345311634476,-0.007261256473225805,0.0,-0.027117383562561985,-0.017879777100985348,-0.007172812459116405,-0.023700032059234998,-0.02459171556623773
NumAromaticRings,-0.04426514857875828,-0.03190401274113304,-0.0249728846745658,-0.003972898965747469,-0.027117383562561985,0.0,-0.05689545658221303,-0.059934507820392904,-0.03660532481997224,-0.0396611066081773
nHalogen,-0.03466262021274563,-0.03668745265873464,-0.02845060110187863,-0.020578932462323268,-0.017879777100985348,-0.05689545658221303,0.0,-0.007750582703264534,-0.029635685692041197,-0.013013241669487469
n_OP,0.016265861377190376,-0.004075496439397116,-0.0052653475463283455,0.0027668524124550976,-0.007172812459116405,-0.059934507820392904,-0.007750582703264534,0.0,-0.044034810225623444,-0.006670964200378651
LiPHEX_prediction,-0.008479935297134584,-0.0655444595622909,-0.07056627655785352,-0.06281618976367107,-0.023700032059234998,-0.03660532481997224,-0.029635685692041197,-0.044034810225623444,0.0,-0.012020643203882398
sasa002_frac_polar_hetero_only,-0.0243099549025,-0.02382740965453062,-0.028357641270110694,-0.026519957477919687,-0.02459171556623773,-0.0396611066081773,-0.013013241669487469,-0.006670964200378651,-0.012020643203882398,0.0
