CANONICAL_REVERSE,CONSTRUCTION_DATA,EDGE_SCORE_SD,MATRIX_SHA256,MIN_EDGE_SCORE,ORDER_FEATURES,ORDER_INDICES,OUTER_FOLD,PATH_TYPE,STABLE_SECOND_BEST_USED,TOTAL_SCORE
"[""sasa002_frac_polar_hetero_only"", ""LiPHEX_prediction"", ""n_OP"", ""nHalogen"", ""NumAromaticRings"", ""NumRotatableBonds"", ""NumHDonors"", ""TPSA_SP"", ""MolWt"", ""MolLogP""]",outer_1_train_inner_OOF_only,0.014588276324600668,96bd1399c934714dd4727437a71d809139c5ac934c29408195fae1ddef527766,-0.02409337465062389,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1,current_order,False,-0.05134727050437182
"[""NumAromaticRings"", ""NumHDonors"", ""MolWt"", ""TPSA_SP"", ""nHalogen"", ""sasa002_frac_polar_hetero_only"", ""NumRotatableBonds"", ""LiPHEX_prediction"", ""n_OP"", ""MolLogP""]",outer_1_train_inner_OOF_only,0.025360466176130383,96bd1399c934714dd4727437a71d809139c5ac934c29408195fae1ddef527766,0.0,"[""MolLogP"", ""n_OP"", ""LiPHEX_prediction"", ""NumRotatableBonds"", ""sasa002_frac_polar_hetero_only"", ""nHalogen"", ""TPSA_SP"", ""MolWt"", ""NumHDonors"", ""NumAromaticRings""]","[0, 7, 8, 4, 9, 6, 2, 1, 3, 5]",1,max_synergy_path,False,0.21594687102285398
"[""nHalogen"", ""sasa002_frac_polar_hetero_only"", ""NumRotatableBonds"", ""TPSA_SP"", ""MolLogP"", ""n_OP"", ""LiPHEX_prediction"", ""MolWt"", ""NumHDonors"", ""NumAromaticRings""]",outer_1_train_inner_OOF_only,0.01589729072714519,5a1538f6ff0b519254a94a3a96da5d9ddae65cc7724752b95d1d9c52e9cfb2c1,-0.011018023611398583,"[""NumAromaticRings"", ""NumHDonors"", ""MolWt"", ""LiPHEX_prediction"", ""n_OP"", ""MolLogP"", ""TPSA_SP"", ""NumRotatableBonds"", ""sasa002_frac_polar_hetero_only"", ""nHalogen""]","[5, 3, 1, 8, 7, 0, 2, 4, 9, 6]",1,stable_synergy_path,False,0.0348948739601787
"[""sasa002_frac_polar_hetero_only"", ""LiPHEX_prediction"", ""n_OP"", ""nHalogen"", ""NumAromaticRings"", ""NumRotatableBonds"", ""NumHDonors"", ""TPSA_SP"", ""MolWt"", ""MolLogP""]",outer_2_train_inner_OOF_only,0.022549221790060456,7b2afb212129b1dbfe88e1ab949082845e035634dff3d02033812fdc85619dcf,-0.06135629151519098,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",2,current_order,False,-0.08058425556906912
"[""TPSA_SP"", ""sasa002_frac_polar_hetero_only"", ""NumAromaticRings"", ""LiPHEX_prediction"", ""NumRotatableBonds"", ""MolLogP"", ""n_OP"", ""MolWt"", ""nHalogen"", ""NumHDonors""]",outer_2_train_inner_OOF_only,0.02863528363091739,7b2afb212129b1dbfe88e1ab949082845e035634dff3d02033812fdc85619dcf,0.0,"[""NumHDonors"", ""nHalogen"", ""MolWt"", ""n_OP"", ""MolLogP"", ""NumRotatableBonds"", ""LiPHEX_prediction"", ""NumAromaticRings"", ""sasa002_frac_polar_hetero_only"", ""TPSA_SP""]","[3, 6, 1, 7, 0, 4, 8, 5, 9, 2]",2,max_synergy_path,False,0.3584008166963241
"[""TPSA_SP"", ""sasa002_frac_polar_hetero_only"", ""n_OP"", ""MolLogP"", ""MolWt"", ""NumHDonors"", ""nHalogen"", ""LiPHEX_prediction"", ""NumRotatableBonds"", ""NumAromaticRings""]",outer_2_train_inner_OOF_only,0.012905952343515568,e7decedafec9fb623e22ec4f9d43c597c13680e2a7d83150ca5dc99b466fedcc,-0.015328529632342587,"[""NumAromaticRings"", ""NumRotatableBonds"", ""LiPHEX_prediction"", ""nHalogen"", ""NumHDonors"", ""MolWt"", ""MolLogP"", ""n_OP"", ""sasa002_frac_polar_hetero_only"", ""TPSA_SP""]","[5, 4, 8, 6, 3, 1, 0, 7, 9, 2]",2,stable_synergy_path,False,0.0331743409677573
"[""sasa002_frac_polar_hetero_only"", ""LiPHEX_prediction"", ""n_OP"", ""nHalogen"", ""NumAromaticRings"", ""NumRotatableBonds"", ""NumHDonors"", ""TPSA_SP"", ""MolWt"", ""MolLogP""]",outer_3_train_inner_OOF_only,0.04077595779424871,88897a31aa5565a523a6c094163f65b2088cebb22ebed4bccaa8dd73bf885fdc,-0.02746343268632262,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",3,current_order,False,0.14347622350347294
"[""nHalogen"", ""sasa002_frac_polar_hetero_only"", ""LiPHEX_prediction"", ""NumAromaticRings"", ""NumRotatableBonds"", ""n_OP"", ""NumHDonors"", ""MolLogP"", ""MolWt"", ""TPSA_SP""]",outer_3_train_inner_OOF_only,0.029150623781792263,88897a31aa5565a523a6c094163f65b2088cebb22ebed4bccaa8dd73bf885fdc,0.005348453798197594,"[""TPSA_SP"", ""MolWt"", ""MolLogP"", ""NumHDonors"", ""n_OP"", ""NumRotatableBonds"", ""NumAromaticRings"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""nHalogen""]","[2, 1, 0, 3, 7, 4, 5, 8, 9, 6]",3,max_synergy_path,False,0.3646193972087868
"[""sasa002_frac_polar_hetero_only"", ""nHalogen"", ""MolWt"", ""NumAromaticRings"", ""NumHDonors"", ""n_OP"", ""NumRotatableBonds"", ""TPSA_SP"", ""MolLogP"", ""LiPHEX_prediction""]",outer_3_train_inner_OOF_only,0.013756374174568285,b65c2bbb6d1c7c63e7cdb8bdcfd7b5c4b3afa5a2a831903742378a0a6a347d45,-0.013536975820700518,"[""LiPHEX_prediction"", ""MolLogP"", ""TPSA_SP"", ""NumRotatableBonds"", ""n_OP"", ""NumHDonors"", ""NumAromaticRings"", ""MolWt"", ""nHalogen"", ""sasa002_frac_polar_hetero_only""]","[8, 0, 2, 4, 7, 3, 5, 1, 6, 9]",3,stable_synergy_path,False,0.02948957126243573
"[""sasa002_frac_polar_hetero_only"", ""LiPHEX_prediction"", ""n_OP"", ""nHalogen"", ""NumAromaticRings"", ""NumRotatableBonds"", ""NumHDonors"", ""TPSA_SP"", ""MolWt"", ""MolLogP""]",outer_4_train_inner_OOF_only,0.01090401221451591,e5f05cde899f2905131aff78cf181ebd795cd50c78cba3b5202a3f64c5018165,-0.009580677734804088,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",4,current_order,False,0.044872082908189836
"[""sasa002_frac_polar_hetero_only"", ""LiPHEX_prediction"", ""MolLogP"", ""NumRotatableBonds"", ""TPSA_SP"", ""n_OP"", ""nHalogen"", ""NumHDonors"", ""MolWt"", ""NumAromaticRings""]",outer_4_train_inner_OOF_only,0.009470473345968912,e5f05cde899f2905131aff78cf181ebd795cd50c78cba3b5202a3f64c5018165,0.0,"[""NumAromaticRings"", ""MolWt"", ""NumHDonors"", ""nHalogen"", ""n_OP"", ""TPSA_SP"", ""NumRotatableBonds"", ""MolLogP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]","[5, 1, 3, 6, 7, 2, 4, 0, 8, 9]",4,max_synergy_path,False,0.15051611285323013
"[""TPSA_SP"", ""nHalogen"", ""n_OP"", ""MolWt"", ""sasa002_frac_polar_hetero_only"", ""LiPHEX_prediction"", ""MolLogP"", ""NumHDonors"", ""NumAromaticRings"", ""NumRotatableBonds""]",outer_4_train_inner_OOF_only,0.007468657828647057,7ec43431f2331f76dc269128d2832f0568bc31b429523b901535751063ddb73c,-0.0037033195954968828,"[""NumRotatableBonds"", ""NumAromaticRings"", ""NumHDonors"", ""MolLogP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only"", ""MolWt"", ""n_OP"", ""nHalogen"", ""TPSA_SP""]","[4, 5, 3, 0, 8, 9, 1, 7, 6, 2]",4,stable_synergy_path,False,0.021028733874490134
