EDGE_POSITION,EDGE_SCORE,LEFT_FEATURE,OUTER_FOLD,PATH_TYPE,RIGHT_FEATURE
1,-0.008519354889318403,MolLogP,1,current_order,MolWt
2,0.027886998940541197,MolWt,1,current_order,TPSA_SP
3,0.00043195409686003217,TPSA_SP,1,current_order,NumHDonors
4,0.0,NumHDonors,1,current_order,NumRotatableBonds
5,-0.02409337465062389,NumRotatableBonds,1,current_order,NumAromaticRings
6,-0.020560122698601496,NumAromaticRings,1,current_order,nHalogen
7,-0.014606828329767785,nHalogen,1,current_order,n_OP
8,0.0,n_OP,1,current_order,LiPHEX_prediction
9,-0.011886542973461478,LiPHEX_prediction,1,current_order,sasa002_frac_polar_hetero_only
1,0.08331579359052876,MolLogP,1,max_synergy_path,n_OP
2,0.0,n_OP,1,max_synergy_path,LiPHEX_prediction
3,0.021495146076011773,LiPHEX_prediction,1,max_synergy_path,NumRotatableBonds
4,0.046230817755786774,NumRotatableBonds,1,max_synergy_path,sasa002_frac_polar_hetero_only
5,0.0019296582349557778,sasa002_frac_polar_hetero_only,1,max_synergy_path,nHalogen
6,0.0035324424255308573,nHalogen,1,max_synergy_path,TPSA_SP
7,0.027886998940541197,TPSA_SP,1,max_synergy_path,MolWt
8,0.024060536742406352,MolWt,1,max_synergy_path,NumHDonors
9,0.007495477257092487,NumHDonors,1,max_synergy_path,NumAromaticRings
1,-0.00618016294277059,NumAromaticRings,1,stable_synergy_path,NumHDonors
2,0.0066119664229893765,NumHDonors,1,stable_synergy_path,MolWt
3,-0.007695094779251958,MolWt,1,stable_synergy_path,LiPHEX_prediction
4,0.0,LiPHEX_prediction,1,stable_synergy_path,n_OP
5,0.03566231640367742,n_OP,1,stable_synergy_path,MolLogP
6,-0.011018023611398583,MolLogP,1,stable_synergy_path,TPSA_SP
7,-0.008521970882500628,TPSA_SP,1,stable_synergy_path,NumRotatableBonds
8,0.028248288608092916,NumRotatableBonds,1,stable_synergy_path,sasa002_frac_polar_hetero_only
9,-0.002212445258659256,sasa002_frac_polar_hetero_only,1,stable_synergy_path,nHalogen
1,0.0,MolLogP,2,current_order,MolWt
2,0.002842897405538447,MolWt,2,current_order,TPSA_SP
3,-0.06135629151519098,TPSA_SP,2,current_order,NumHDonors
4,0.0050042076613624475,NumHDonors,2,current_order,NumRotatableBonds
5,0.0,NumRotatableBonds,2,current_order,NumAromaticRings
6,-0.02200375441933089,NumAromaticRings,2,current_order,nHalogen
7,0.012610893496974418,nHalogen,2,current_order,n_OP
8,-0.027555986945585864,n_OP,2,current_order,LiPHEX_prediction
9,0.009873778747163303,LiPHEX_prediction,2,current_order,sasa002_frac_polar_hetero_only
1,0.0,NumHDonors,2,max_synergy_path,nHalogen
2,0.04338258727784128,nHalogen,2,max_synergy_path,MolWt
