C,INNER_THRESHOLD_MCC,KERNEL_PARAMS,MODEL,ORDER_FEATURES,OUTER_FOLD,SELECTION_SOURCE,THRESHOLD
10.0,0.5571271194121862,"{""feature_scale"": 0.125}",current_order_10q,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",1,inner_OOF_outer_train_only,0.18280098095833888
10.0,0.5479849145894742,"{""feature_scale"": 0.125}",max_synergy_path_10q,"[""MolLogP"", ""n_OP"", ""LiPHEX_prediction"", ""NumRotatableBonds"", ""sasa002_frac_polar_hetero_only"", ""nHalogen"", ""TPSA_SP"", ""MolWt"", ""NumHDonors"", ""NumAromaticRings""]",1,inner_OOF_outer_train_only,-0.08881663729678631
10.0,0.5475651465823785,"{""feature_scale"": 0.125}",stable_synergy_path_10q,"[""NumAromaticRings"", ""NumHDonors"", ""MolWt"", ""LiPHEX_prediction"", ""n_OP"", ""MolLogP"", ""TPSA_SP"", ""NumRotatableBonds"", ""sasa002_frac_polar_hetero_only"", ""nHalogen""]",1,inner_OOF_outer_train_only,0.560328950278032
10.0,0.5519520524278623,"{""feature_scale"": 0.125}",current_order_20q_duplicate,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",1,inner_OOF_outer_train_only,0.8142010192925456
10.0,0.5662073470129398,"{""feature_scale"": 0.125}",current_order_20q_complementary,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",1,inner_OOF_outer_train_only,0.07311033817959534
10.0,0.5564723751116498,"{""feature_scale"": 0.125}",max_synergy_path_20q_duplicate,"[""MolLogP"", ""n_OP"", ""LiPHEX_prediction"", ""NumRotatableBonds"", ""sasa002_frac_polar_hetero_only"", ""nHalogen"", ""TPSA_SP"", ""MolWt"", ""NumHDonors"", ""NumAromaticRings""]",1,inner_OOF_outer_train_only,0.8105939634622257
10.0,0.5642198539457325,"{""feature_scale"": 0.125}",max_synergy_path_20q_complementary,"[""MolLogP"", ""n_OP"", ""LiPHEX_prediction"", ""NumRotatableBonds"", ""sasa002_frac_polar_hetero_only"", ""nHalogen"", ""TPSA_SP"", ""MolWt"", ""NumHDonors"", ""NumAromaticRings""]",1,inner_OOF_outer_train_only,0.4080054981651371
10.0,0.5564723751116498,"{""feature_scale"": 0.125}",stable_synergy_path_20q_duplicate,"[""NumAromaticRings"", ""NumHDonors"", ""MolWt"", ""LiPHEX_prediction"", ""n_OP"", ""MolLogP"", ""TPSA_SP"", ""NumRotatableBonds"", ""sasa002_frac_polar_hetero_only"", ""nHalogen""]",1,inner_OOF_outer_train_only,0.8173759779873051
10.0,0.5664038996840159,"{""feature_scale"": 0.125}",stable_synergy_path_20q_complementary,"[""NumAromaticRings"", ""NumHDonors"", ""MolWt"", ""LiPHEX_prediction"", ""n_OP"", ""MolLogP"", ""TPSA_SP"", ""NumRotatableBonds"", ""sasa002_frac_polar_hetero_only"", ""nHalogen""]",1,inner_OOF_outer_train_only,0.06074136982697806
1.0,0.5026616856907025,"{""feature_scale"": 0.125}",current_order_10q,"[""MolLogP"", ""MolWt"", ""TPSA_SP"", ""NumHDonors"", ""NumRotatableBonds"", ""NumAromaticRings"", ""nHalogen"", ""n_OP"", ""LiPHEX_prediction"", ""sasa002_frac_polar_hetero_only""]",2,inner_OOF_outer_train_only,0.17676950130217128
