REPLICATE,LEFT_MODEL,RIGHT_MODEL,MCC_DELTA
1,max_synergy_path_10q,current_order_10q,-0.006345429932571867
1,stable_synergy_path_10q,current_order_10q,0.03133313126909382
1,max_synergy_path_20q_duplicate,current_order_20q_duplicate,-0.0739747378946119
1,max_synergy_path_20q_complementary,current_order_20q_complementary,-0.0008615087627092954
1,stable_synergy_path_20q_duplicate,current_order_20q_duplicate,-0.004999399239634994
1,stable_synergy_path_20q_complementary,current_order_20q_complementary,-0.0035745987432888593
1,max_synergy_path_10q,quantum_iqp_zz_linear,-0.006345429932571867
1,stable_synergy_path_10q,quantum_iqp_zz_linear,0.03133313126909382
1,max_synergy_path_20q_duplicate,quantum_iqp_zz_linear,-0.04236772683412293
1,max_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.0231661590169272
1,stable_synergy_path_20q_duplicate,quantum_iqp_zz_linear,0.02660761182085397
1,stable_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.020453069036347638
1,max_synergy_path_10q,rbf_matched,-0.006274164194423171
1,stable_synergy_path_10q,rbf_matched,0.03140439700724251
1,max_synergy_path_20q_duplicate,rbf_matched,-0.042296461095974236
1,max_synergy_path_20q_complementary,rbf_matched,0.023237424755075897
1,stable_synergy_path_20q_duplicate,rbf_matched,0.026678877559002667
1,stable_synergy_path_20q_complementary,rbf_matched,0.020524334774496333
1,max_synergy_path_10q,random_forest,-0.07453266266152403
1,stable_synergy_path_10q,random_forest,-0.036854101459858346
1,max_synergy_path_20q_duplicate,random_forest,-0.1105549595630751
1,max_synergy_path_20q_complementary,random_forest,-0.04502107371202496
1,stable_synergy_path_20q_duplicate,random_forest,-0.04157962090809819
1,stable_synergy_path_20q_complementary,random_forest,-0.047734163692604525
2,max_synergy_path_10q,current_order_10q,-0.011441365558942873
2,stable_synergy_path_10q,current_order_10q,0.023158905306580158
2,max_synergy_path_20q_duplicate,current_order_20q_duplicate,-0.05480171056516664
2,max_synergy_path_20q_complementary,current_order_20q_complementary,0.0003031779773924326
2,stable_synergy_path_20q_duplicate,current_order_20q_duplicate,-0.010682917153213123
2,stable_synergy_path_20q_complementary,current_order_20q_complementary,0.003503488364646312
2,max_synergy_path_10q,quantum_iqp_zz_linear,-0.011441365558942873
2,stable_synergy_path_10q,quantum_iqp_zz_linear,0.023158905306580158
2,max_synergy_path_20q_duplicate,quantum_iqp_zz_linear,-0.029939723373802185
2,max_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.014541315367460339
2,stable_synergy_path_20q_duplicate,quantum_iqp_zz_linear,0.014179070038151331
2,stable_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.01774162575471422
2,max_synergy_path_10q,rbf_matched,-0.014642780871089167
2,stable_synergy_path_10q,rbf_matched,0.019957489994433864
2,max_synergy_path_20q_duplicate,rbf_matched,-0.03314113868594848
2,max_synergy_path_20q_complementary,rbf_matched,0.011339900055314045
2,stable_synergy_path_20q_duplicate,rbf_matched,0.010977654726005037
2,stable_synergy_path_20q_complementary,rbf_matched,0.014540210442567925
2,max_synergy_path_10q,random_forest,-0.08218917334197084
2,stable_synergy_path_10q,random_forest,-0.047588902476447814
2,max_synergy_path_20q_duplicate,random_forest,-0.10068753115683016
2,max_synergy_path_20q_complementary,random_forest,-0.05620649241556763
2,stable_synergy_path_20q_duplicate,random_forest,-0.05656873774487664
2,stable_synergy_path_20q_complementary,random_forest,-0.05300618202831375
3,max_synergy_path_10q,current_order_10q,-0.01286935920997373
3,stable_synergy_path_10q,current_order_10q,0.03629356414710194
3,max_synergy_path_20q_duplicate,current_order_20q_duplicate,-0.07799395684725746
3,max_synergy_path_20q_complementary,current_order_20q_complementary,0.004283181449702078
3,stable_synergy_path_20q_duplicate,current_order_20q_duplicate,0.0
3,stable_synergy_path_20q_complementary,current_order_20q_complementary,0.0
3,max_synergy_path_10q,quantum_iqp_zz_linear,-0.01286935920997373
3,stable_synergy_path_10q,quantum_iqp_zz_linear,0.03629356414710194
3,max_synergy_path_20q_duplicate,quantum_iqp_zz_linear,-0.038449400823298785
3,max_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.0165927762685803
3,stable_synergy_path_20q_duplicate,quantum_iqp_zz_linear,0.03954455602395868
3,stable_synergy_path_20q_complementary,quantum_iqp_zz_linear,0.012309594818878222
3,max_synergy_path_10q,rbf_matched,-0.020873042946497944
3,stable_synergy_path_10q,rbf_matched,0.028289880410577728
3,max_synergy_path_20q_duplicate,rbf_matched,-0.046453084559823
3,max_synergy_path_20q_complementary,rbf_matched,0.008589092532056086
3,stable_synergy_path_20q_duplicate,rbf_matched,0.03154087228743446
3,stable_synergy_path_20q_complementary,rbf_matched,0.004305911082354008
3,max_synergy_path_10q,random_forest,-0.08344994447503706
3,stable_synergy_path_10q,random_forest,-0.03428702111796139
3,max_synergy_path_20q_duplicate,random_forest,-0.10902998608836212
3,max_synergy_path_20q_complementary,random_forest,-0.05398780899648303
3,stable_synergy_path_20q_duplicate,random_forest,-0.031036029241104657
3,stable_synergy_path_20q_complementary,random_forest,-0.05827099044618511
4,max_synergy_path_10q,current_order_10q,-0.004715310512851567
4,stable_synergy_path_10q,current_order_10q,0.014198185643647332
4,max_synergy_path_20q_duplicate,current_order_20q_duplicate,-0.20699321141998045
4,max_synergy_path_20q_complementary,current_order_20q_complementary,0.004611307112269369
4,stable_synergy_path_20q_duplicate,current_order_20q_duplicate,0.004533124773630659
4,stable_synergy_path_20q_complementary,current_order_20q_complementary,-0.013487604967799105
4,max_synergy_path_10q,quantum_iqp_zz_linear,-0.004715310512851567
4,stable_synergy_path_10q,quantum_iqp_zz_linear,0.014198185643647332
