LEFT_MODEL,RIGHT_MODEL,METRIC,OBSERVED_DELTA,BOOTSTRAP_MEDIAN,CI_LOW_95,CI_HIGH_95,P_DELTA_GT_0,REPLICATES,RESAMPLING_UNIT
max_synergy_path_10q,current_order_10q,MCC,-0.011603694167237555,-0.01075116719948141,-0.02971325067995402,0.0053269339904100195,0.095,2000,BUTINA_CLUSTER_ID
stable_synergy_path_10q,current_order_10q,MCC,0.025568848730492866,0.025197024730958084,0.00773837316088996,0.04836413896415665,0.997,2000,BUTINA_CLUSTER_ID
max_synergy_path_20q_duplicate,current_order_20q_duplicate,MCC,-0.09537053498421222,-0.09265314638644995,-0.168164007668818,-0.026236633012728577,0.0005,2000,BUTINA_CLUSTER_ID
max_synergy_path_20q_complementary,current_order_20q_complementary,MCC,0.003994710204257457,0.0038272164604912784,-0.0014160434155592802,0.013517085365534044,0.7255,2000,BUTINA_CLUSTER_ID
stable_synergy_path_20q_duplicate,current_order_20q_duplicate,MCC,-0.00504916088107793,-0.004803201092749704,-0.02416236809407121,0.016084438639180743,0.286,2000,BUTINA_CLUSTER_ID
stable_synergy_path_20q_complementary,current_order_20q_complementary,MCC,-0.00381181226992261,-0.0038264883385570325,-0.01867461741777743,0.00914039843911379,0.28,2000,BUTINA_CLUSTER_ID
max_synergy_path_10q,quantum_iqp_zz_linear,MCC,-0.011603694167237555,-0.01075116719948141,-0.02971325067995402,0.0053269339904100195,0.095,2000,BUTINA_CLUSTER_ID
stable_synergy_path_10q,quantum_iqp_zz_linear,MCC,0.025568848730492866,0.025197024730958084,0.00773837316088996,0.04836413896415665,0.997,2000,BUTINA_CLUSTER_ID
max_synergy_path_20q_duplicate,quantum_iqp_zz_linear,MCC,-0.0640030742415269,-0.06070452935907947,-0.14252654133524958,0.012486080530472949,0.0535,2000,BUTINA_CLUSTER_ID
max_synergy_path_20q_complementary,quantum_iqp_zz_linear,MCC,0.029528562550205195,0.028437734956221372,0.0020979176927370226,0.06546617984461882,0.9855,2000,BUTINA_CLUSTER_ID
stable_synergy_path_20q_duplicate,quantum_iqp_zz_linear,MCC,0.026318299861607386,0.02656678272719118,-0.0061266246766877135,0.06080999612004563,0.94,2000,BUTINA_CLUSTER_ID
stable_synergy_path_20q_complementary,quantum_iqp_zz_linear,MCC,0.02172204007602513,0.020500922860807125,-0.004686281601474085,0.05757597433353855,0.9355,2000,BUTINA_CLUSTER_ID
max_synergy_path_10q,rbf_matched,MCC,-0.01707269310215559,-0.01654910372499699,-0.04822564233502252,0.012199402158653843,0.1135,2000,BUTINA_CLUSTER_ID
stable_synergy_path_10q,rbf_matched,MCC,0.02009984979557483,0.019576028150079444,-0.011075722375312697,0.0534917135309587,0.8915,2000,BUTINA_CLUSTER_ID
max_synergy_path_20q_duplicate,rbf_matched,MCC,-0.06947207317644494,-0.06553177454787579,-0.14964472224035882,0.007233207116042595,0.034,2000,BUTINA_CLUSTER_ID
max_synergy_path_20q_complementary,rbf_matched,MCC,0.02405956361528716,0.023410708831626853,-0.009051797813948393,0.06271046205321015,0.92,2000,BUTINA_CLUSTER_ID
stable_synergy_path_20q_duplicate,rbf_matched,MCC,0.02084930092668935,0.02078795794289881,-0.020088172282304338,0.06339468242959684,0.855,2000,BUTINA_CLUSTER_ID
stable_synergy_path_20q_complementary,rbf_matched,MCC,0.016253041141107094,0.015068808828266167,-0.011390855432580825,0.05253645717563943,0.847,2000,BUTINA_CLUSTER_ID
max_synergy_path_10q,random_forest,MCC,-0.07962751111246391,-0.07925872403056688,-0.1355992122570249,-0.02586410443914604,0.003,2000,BUTINA_CLUSTER_ID
stable_synergy_path_10q,random_forest,MCC,-0.04245496821473349,-0.04179752291756933,-0.09342906547393785,0.004651887510102114,0.0345,2000,BUTINA_CLUSTER_ID
max_synergy_path_20q_duplicate,random_forest,MCC,-0.13202689118675326,-0.12990370940043508,-0.21056533063264563,-0.059398565918904814,0.0005,2000,BUTINA_CLUSTER_ID
max_synergy_path_20q_complementary,random_forest,MCC,-0.03849525439502116,-0.038882061069254764,-0.08464621295265558,0.0046424460650788,0.0415,2000,BUTINA_CLUSTER_ID
stable_synergy_path_20q_duplicate,random_forest,MCC,-0.04170551708361897,-0.04116959661350139,-0.09164051746524554,0.0034951900587507937,0.037,2000,BUTINA_CLUSTER_ID
stable_synergy_path_20q_complementary,random_forest,MCC,-0.04630177686920123,-0.04659715561824651,-0.0925192593286737,-0.0022460109177058255,0.016,2000,BUTINA_CLUSTER_ID
