PAIR_INDEX,PAIR,OBSERVED_DELTA,BOOTSTRAP_MEDIAN,CI_LOW_95,CI_HIGH_95,P_DELTA_GT_0,P_VALUE_TWO_SIDED,REPLICATES,RESAMPLING_UNIT,HOLM_ADJUSTED_P,HOLM_REJECT_0_05
1,MolLogP__MolWt,0.037219152264295396,0.034150547688703084,-0.09386904475673451,0.16129430776886639,0.6975,0.605,2000,BUTINA_CLUSTER_ID,1.0,False
2,MolLogP__TPSA_SP,0.06747233917060172,0.06187611427992629,-0.028610899221828273,0.15860215608708692,0.9035,0.193,2000,BUTINA_CLUSTER_ID,1.0,False
3,MolLogP__NumHDonors,-0.01892153566153181,-0.02031171599770974,-0.10936659040490597,0.060070083861121476,0.3125,0.625,2000,BUTINA_CLUSTER_ID,1.0,False
4,MolLogP__NumRotatableBonds,0.02206535940496837,0.024397182537034892,-0.058752051907125735,0.10967519975529244,0.7145,0.571,2000,BUTINA_CLUSTER_ID,1.0,False
5,MolLogP__NumAromaticRings,-0.052485581324073,-0.05078589867669613,-0.10971269070770248,-0.0010179173482122367,0.0225,0.045,2000,BUTINA_CLUSTER_ID,1.0,False
6,MolLogP__nHalogen,-0.021789474592314617,-0.02304011172008722,-0.08429596036035589,0.04338201342444045,0.2495,0.503,2000,BUTINA_CLUSTER_ID,1.0,False
7,MolLogP__n_OP,0.08797069461023332,0.08695604259967041,0.025179206598681288,0.14934968439908336,0.9965,0.007,2000,BUTINA_CLUSTER_ID,0.315,False
8,MolLogP__LiPHEX_prediction,0.009693448146801134,0.008898784586244424,-0.055953485015200775,0.08164603092010111,0.5935,0.813,2000,BUTINA_CLUSTER_ID,1.0,False
9,MolLogP__sasa002_frac_polar_hetero_only,0.0004672678210842218,-0.0011278375529718832,-0.05460630354406424,0.05058236695921946,0.481,0.962,2000,BUTINA_CLUSTER_ID,1.0,False
10,MolWt__TPSA_SP,-0.020789108951295182,-0.016195380203638067,-0.2136898035675918,0.1526339842242907,0.4335,0.867,2000,BUTINA_CLUSTER_ID,1.0,False
11,MolWt__NumHDonors,-0.026770894986700794,-0.024864565130756446,-0.13855697032312853,0.06948459664211783,0.3235,0.647,2000,BUTINA_CLUSTER_ID,1.0,False
12,MolWt__NumRotatableBonds,-0.0317064637171245,-0.03245473801893854,-0.11478411819876405,0.052396451075048305,0.2195,0.439,2000,BUTINA_CLUSTER_ID,1.0,False
13,MolWt__NumAromaticRings,-0.022503539335651263,-0.01998454045223872,-0.1122234115384824,0.0623620205836061,0.3285,0.657,2000,BUTINA_CLUSTER_ID,1.0,False
14,MolWt__nHalogen,0.0003348035368878066,0.0031872669339078133,-0.07224494495939895,0.07630030479235402,0.5365,0.927,2000,BUTINA_CLUSTER_ID,1.0,False
15,MolWt__n_OP,0.0023986416417954848,0.0021366004623178947,-0.02624189448446264,0.03145181522797219,0.5525,0.895,2000,BUTINA_CLUSTER_ID,1.0,False
16,MolWt__LiPHEX_prediction,0.007923206617382376,0.011311535665259385,-0.17555186435289916,0.18234432817070625,0.5445,0.911,2000,BUTINA_CLUSTER_ID,1.0,False
17,MolWt__sasa002_frac_polar_hetero_only,-0.04483116181903464,-0.04398351964588805,-0.11577334240355892,0.02790535251824674,0.122,0.244,2000,BUTINA_CLUSTER_ID,1.0,False
18,TPSA_SP__NumHDonors,-0.02364669424411553,-0.019964147625654814,-0.07745629557748494,0.055429125519502055,0.3055,0.616,2000,BUTINA_CLUSTER_ID,1.0,False
19,TPSA_SP__NumRotatableBonds,-0.03704334230138709,-0.03749494520153206,-0.07697010889792325,-0.0035412024423501836,0.017,0.034,2000,BUTINA_CLUSTER_ID,1.0,False
20,TPSA_SP__NumAromaticRings,0.014545225109328264,0.013429948594160232,-0.047480148122396995,0.07843929206936354,0.668,0.664,2000,BUTINA_CLUSTER_ID,1.0,False
21,TPSA_SP__nHalogen,-0.01637024844656859,-0.014452676995537747,-0.09447975745238607,0.06722608550393477,0.366,0.732,2000,BUTINA_CLUSTER_ID,1.0,False
22,TPSA_SP__n_OP,-0.017193854555730914,-0.016841851460813434,-0.0396438670245269,-0.0003260627909776057,0.017,0.048,2000,BUTINA_CLUSTER_ID,1.0,False
23,TPSA_SP__LiPHEX_prediction,0.04396537076864171,0.0406298710602018,-0.03369691275799348,0.12351820934993528,0.858,0.284,2000,BUTINA_CLUSTER_ID,1.0,False
24,TPSA_SP__sasa002_frac_polar_hetero_only,-0.001134558009024865,-0.002575628670773742,-0.06725763808995107,0.06387637242619194,0.471,0.942,2000,BUTINA_CLUSTER_ID,1.0,False
25,NumHDonors__NumRotatableBonds,-0.0018873869590250447,-0.0010949160206586567,-0.05934499844386466,0.05058466278016738,0.487,0.974,2000,BUTINA_CLUSTER_ID,1.0,False
26,NumHDonors__NumAromaticRings,0.016598873898452285,0.015989343604917182,-0.009496068559489168,0.0435213969511577,0.9025,0.195,2000,BUTINA_CLUSTER_ID,1.0,False
27,NumHDonors__nHalogen,-0.002976104201774507,-0.002835794107060065,-0.02450387740636201,0.017783942288128657,0.3865,0.773,2000,BUTINA_CLUSTER_ID,1.0,False
28,NumHDonors__n_OP,0.0066607743029233335,0.006489714624009352,-0.014531012062319996,0.03355135871269447,0.6855,0.629,2000,BUTINA_CLUSTER_ID,1.0,False
29,NumHDonors__LiPHEX_prediction,0.02874881061324322,0.027997608744183188,-0.05364952849384901,0.1109971138004697,0.7635,0.473,2000,BUTINA_CLUSTER_ID,1.0,False
30,NumHDonors__sasa002_frac_polar_hetero_only,0.07944146876253164,0.07810642786966045,0.005597719455409206,0.15644182460750283,0.983,0.034,2000,BUTINA_CLUSTER_ID,1.0,False
31,NumRotatableBonds__NumAromaticRings,0.06777843393954208,0.06856202245011267,-0.00588144654916183,0.15357617560439624,0.963,0.074,2000,BUTINA_CLUSTER_ID,1.0,False
32,NumRotatableBonds__nHalogen,0.06789752761545387,0.06683763418524152,0.0010033903315276888,0.13091071684505445,0.9785,0.043,2000,BUTINA_CLUSTER_ID,1.0,False
33,NumRotatableBonds__n_OP,0.011901569489424613,0.011486270838495682,-0.00904309876256838,0.03287132635153926,0.822,0.356,2000,BUTINA_CLUSTER_ID,1.0,False
34,NumRotatableBonds__LiPHEX_prediction,0.006600049988275625,0.005632894402011564,-0.06084976287396221,0.07679839403286075,0.5615,0.877,2000,BUTINA_CLUSTER_ID,1.0,False
35,NumRotatableBonds__sasa002_frac_polar_hetero_only,-0.01862799618348715,-0.019127996922619083,-0.07718317410597736,0.029690509773560664,0.226,0.452,2000,BUTINA_CLUSTER_ID,1.0,False
36,NumAromaticRings__nHalogen,-0.0023946157117012007,-0.0021170098531867673,-0.13693918743276876,0.133814384630216,0.4915,0.983,2000,BUTINA_CLUSTER_ID,1.0,False
37,NumAromaticRings__n_OP,-0.0850463182629489,-0.08518497337657505,-0.1529157159767078,-0.02300147655149347,0.0065,0.013,2000,BUTINA_CLUSTER_ID,0.572,False
38,NumAromaticRings__LiPHEX_prediction,-0.030542573499736048,-0.032280559363299544,-0.1489483093713213,0.09106963765874658,0.287,0.574,2000,BUTINA_CLUSTER_ID,1.0,False
39,NumAromaticRings__sasa002_frac_polar_hetero_only,-0.030125869928800134,-0.027584691341326656,-0.10890197532603918,0.049260167719073183,0.252,0.504,2000,BUTINA_CLUSTER_ID,1.0,False
40,nHalogen__n_OP,0.02290872532283106,0.021664219727225376,-0.00641074066390084,0.0593196436777975,0.9215,0.157,2000,BUTINA_CLUSTER_ID,1.0,False
41,nHalogen__LiPHEX_prediction,0.031856133877778525,0.028882340829363265,-0.07525753563517505,0.13628941214861576,0.6925,0.615,2000,BUTINA_CLUSTER_ID,1.0,False
42,nHalogen__sasa002_frac_polar_hetero_only,0.0016020190217337638,0.001767502274475738,-0.03900893335976655,0.044495156274262246,0.532,0.936,2000,BUTINA_CLUSTER_ID,1.0,False
43,n_OP__LiPHEX_prediction,-0.0434196215456597,-0.04404612289108295,-0.11184491702516598,0.012340779578229972,0.064,0.128,2000,BUTINA_CLUSTER_ID,1.0,False
44,n_OP__sasa002_frac_polar_hetero_only,-0.011643956057567073,-0.010650152082325337,-0.03921692279723987,0.007773939137448352,0.144,0.391,2000,BUTINA_CLUSTER_ID,1.0,False
45,LiPHEX_prediction__sasa002_frac_polar_hetero_only,0.0068168848178176145,0.008767577553997805,-0.05166210296501481,0.06290623104211417,0.6095,0.781,2000,BUTINA_CLUSTER_ID,1.0,False
