PAIR_INDEX,PAIR,P_VALUE_TWO_SIDED,HOLM_ADJUSTED_P,HOLM_REJECT_0_05
1,MolLogP__MolWt,0.605,1.0,False
2,MolLogP__TPSA_SP,0.193,1.0,False
3,MolLogP__NumHDonors,0.625,1.0,False
4,MolLogP__NumRotatableBonds,0.571,1.0,False
5,MolLogP__NumAromaticRings,0.045,1.0,False
6,MolLogP__nHalogen,0.503,1.0,False
7,MolLogP__n_OP,0.007,0.315,False
8,MolLogP__LiPHEX_prediction,0.813,1.0,False
9,MolLogP__sasa002_frac_polar_hetero_only,0.962,1.0,False
10,MolWt__TPSA_SP,0.867,1.0,False
11,MolWt__NumHDonors,0.647,1.0,False
12,MolWt__NumRotatableBonds,0.439,1.0,False
13,MolWt__NumAromaticRings,0.657,1.0,False
14,MolWt__nHalogen,0.927,1.0,False
15,MolWt__n_OP,0.895,1.0,False
16,MolWt__LiPHEX_prediction,0.911,1.0,False
17,MolWt__sasa002_frac_polar_hetero_only,0.244,1.0,False
18,TPSA_SP__NumHDonors,0.616,1.0,False
19,TPSA_SP__NumRotatableBonds,0.034,1.0,False
20,TPSA_SP__NumAromaticRings,0.664,1.0,False
21,TPSA_SP__nHalogen,0.732,1.0,False
22,TPSA_SP__n_OP,0.048,1.0,False
23,TPSA_SP__LiPHEX_prediction,0.284,1.0,False
24,TPSA_SP__sasa002_frac_polar_hetero_only,0.942,1.0,False
25,NumHDonors__NumRotatableBonds,0.974,1.0,False
26,NumHDonors__NumAromaticRings,0.195,1.0,False
27,NumHDonors__nHalogen,0.773,1.0,False
28,NumHDonors__n_OP,0.629,1.0,False
29,NumHDonors__LiPHEX_prediction,0.473,1.0,False
30,NumHDonors__sasa002_frac_polar_hetero_only,0.034,1.0,False
31,NumRotatableBonds__NumAromaticRings,0.074,1.0,False
32,NumRotatableBonds__nHalogen,0.043,1.0,False
33,NumRotatableBonds__n_OP,0.356,1.0,False
34,NumRotatableBonds__LiPHEX_prediction,0.877,1.0,False
35,NumRotatableBonds__sasa002_frac_polar_hetero_only,0.452,1.0,False
36,NumAromaticRings__nHalogen,0.983,1.0,False
37,NumAromaticRings__n_OP,0.013,0.572,False
38,NumAromaticRings__LiPHEX_prediction,0.574,1.0,False
39,NumAromaticRings__sasa002_frac_polar_hetero_only,0.504,1.0,False
40,nHalogen__n_OP,0.157,1.0,False
41,nHalogen__LiPHEX_prediction,0.615,1.0,False
42,nHalogen__sasa002_frac_polar_hetero_only,0.936,1.0,False
43,n_OP__LiPHEX_prediction,0.128,1.0,False
44,n_OP__sasa002_frac_polar_hetero_only,0.391,1.0,False
45,LiPHEX_prediction__sasa002_frac_polar_hetero_only,0.781,1.0,False
