MODEL,OUTER_FOLD,N_TRAIN,N_VALIDATION,INNER_AUROC_MEAN,INNER_AUROC_SD,THRESHOLD,AUROC,AUPRC,BALANCED_ACCURACY,MCC,SENSITIVITY,SPECIFICITY,TP,TN,FP,FN
logistic,1,575,137,0.7844755476484255,0.044035581834586376,0.5760642101502049,0.5716494845360826,0.4701982484048365,0.585180412371134,0.1920849469707742,0.325,0.845360824742268,13,82,15,27
random_forest,1,575,137,0.7899122970810342,0.04235538279097585,0.5318873464768938,0.6878865979381443,0.5269809969362431,0.5962628865979381,0.25327185714281547,0.275,0.9175257731958762,11,89,8,29
mlp,1,575,137,0.7199377811437854,0.03813132418476794,0.5240377444370137,0.4889175257731959,0.4054741557776305,0.5845360824742268,0.2828826823638642,0.2,0.9690721649484536,8,94,3,32
rbf_matched,1,575,137,0.8050005502127655,0.04339868526601536,-0.04758572161847177,0.5587628865979382,0.4966898972082447,0.6050257731958764,0.22824851800966584,0.375,0.8350515463917526,15,81,16,25
quantum_angle_product,1,575,137,0.8069423531380053,0.04471999579461065,0.02900538217637269,0.5618556701030928,0.44248978486875035,0.5425257731958764,0.09861657465859248,0.25,0.8350515463917526,10,81,16,30
quantum_iqp_zz_linear,1,575,137,0.8067852561900182,0.0430922482057872,0.18260755653527475,0.5801546391752577,0.5016572288270607,0.5903350515463918,0.2065018422790953,0.325,0.8556701030927835,13,83,14,27
logistic,2,607,105,0.7240573222738604,0.07916250130561006,0.6977101359957492,0.6903815580286169,0.6125163583068234,0.6389109697933227,0.3521486100099929,0.35135135135135137,0.9264705882352942,13,63,5,24
random_forest,2,607,105,0.7348851102137354,0.0928104507335012,0.5601787460707077,0.7476152623211447,0.6545618069148063,0.6597774244833068,0.4050464698827386,0.3783783783783784,0.9411764705882353,14,64,4,23
mlp,2,607,105,0.6855899425952234,0.05157647797736442,0.5398554398724426,0.6367249602543721,0.520606894882444,0.6253974562798092,0.3252432140396215,0.32432432432432434,0.9264705882352942,12,63,5,25
rbf_matched,2,607,105,0.7447709775331013,0.10098572373943171,-0.15153191568899937,0.6418918918918918,0.5604162301812287,0.6450715421303657,0.35297429627326715,0.3783783783783784,0.9117647058823529,14,62,6,23
quantum_angle_product,2,607,105,0.7468264951077594,0.10694572153860564,0.16669056849192576,0.6589825119236885,0.5546696422569946,0.6315580286168522,0.3264950828107203,0.35135135135135137,0.9117647058823529,13,62,6,24
quantum_iqp_zz_linear,2,607,105,0.7455693562039991,0.10767741868774985,0.1769772718214202,0.647456279809221,0.5706655566793262,0.6327503974562798,0.3529117753900848,0.32432432432432434,0.9411764705882353,12,64,4,25
logistic,3,565,147,0.7264319303114399,0.07345095160017129,0.6498215901961384,0.8,0.6933445107513834,0.6936117936117936,0.5254880831660127,0.40540540540540543,0.9818181818181818,15,108,2,22
random_forest,3,565,147,0.7254334994806628,0.10930970934105581,0.62,0.7196560196560197,0.6192890416278116,0.6711302211302211,0.5060157952073764,0.35135135135135137,0.990909090909091,13,109,1,24
mlp,3,565,147,0.6431088163574987,0.11864658236020288,0.5205590475153956,0.792137592137592,0.658621359948608,0.6576167076167077,0.48184280284144393,0.32432432432432434,0.990909090909091,12,109,1,25
rbf_matched,3,565,147,0.7195059804923967,0.0882156056758374,0.9301158312713812,0.7813267813267813,0.6999919787467013,0.6576167076167077,0.48184280284144393,0.32432432432432434,0.990909090909091,12,109,1,25
quantum_angle_product,3,565,147,0.7310145485417985,0.08237285530657665,0.5061772608875286,0.8078624078624078,0.7119152355826215,0.6576167076167077,0.48184280284144393,0.32432432432432434,0.990909090909091,12,109,1,25
