MODEL,OUTER_FOLD,BEST_PARAMS,INNER_AUROC_MEAN,INNER_AUROC_SD,THRESHOLD,INNER_THRESHOLD_MCC,INNER_THRESHOLD_BA
logistic,1,"{""model__C"": 1.0}",0.7844755476484255,0.044035581834586376,0.5760642101502049,0.5750790214402333,0.7564521992002908
random_forest,1,"{""model__max_depth"": null, ""model__min_samples_leaf"": 3}",0.7899122970810342,0.04235538279097585,0.5318873464768938,0.5545056156602938,0.7294410424181417
mlp,1,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.001}",0.7199377811437854,0.03813132418476794,0.5240377444370137,0.42646736549928954,0.6421930486815983
rbf_matched,1,"{""C"": 10.0, ""gamma"": 0.03}",0.8050005502127655,0.04339868526601536,-0.04758572161847177,0.5732189659505871,0.7669798394989236
quantum_angle_product,1,"{""C"": 1.0, ""feature_scale"": 0.5}",0.8069423531380053,0.04471999579461065,0.02900538217637269,0.579680758975635,0.7547744875989151
quantum_iqp_zz_linear,1,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.8067852561900182,0.0430922482057872,0.18260755653527475,0.5571271194121862,0.7395632357464419
logistic,2,"{""model__C"": 1.0}",0.7240573222738604,0.07916250130561006,0.6977101359957492,0.5147417355262004,0.6977776354553606
random_forest,2,"{""model__max_depth"": null, ""model__min_samples_leaf"": 3}",0.7348851102137354,0.0928104507335012,0.5601787460707077,0.5206768371168132,0.7122902523376458
mlp,2,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.001}",0.6855899425952234,0.05157647797736442,0.5398554398724426,0.46836684504057163,0.6604585628282311
rbf_matched,2,"{""C"": 1.0, ""gamma"": 0.01}",0.7447709775331013,0.10098572373943171,-0.15153191568899937,0.49811690661130137,0.6957410016651723
quantum_angle_product,2,"{""C"": 10.0, ""feature_scale"": 0.125}",0.7468264951077594,0.10694572153860564,0.16669056849192576,0.4969260780812082,0.6854489560650698
quantum_iqp_zz_linear,2,"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7455693562039991,0.10767741868774985,0.1769772718214202,0.5026616856907025,0.6866337901882925
logistic,3,"{""model__C"": 100.0}",0.7264319303114399,0.07345095160017129,0.6498215901961384,0.5022863786952741,0.6922475106685633
random_forest,3,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1}",0.7254334994806628,0.10930970934105581,0.62,0.4544753382942671,0.6652204836415363
mlp,3,"{""model__alpha"": 0.001, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.001}",0.6431088163574987,0.11864658236020288,0.5205590475153956,0.2861059518813317,0.577275960170697
rbf_matched,3,"{""C"": 10.0, ""gamma"": 0.01}",0.7195059804923967,0.0882156056758374,0.9301158312713812,0.4765828343025547,0.6732574679943102
quantum_angle_product,3,"{""C"": 10.0, ""feature_scale"": 0.125}",0.7310145485417985,0.08237285530657665,0.5061772608875286,0.4703634278059676,0.6719416785206259
quantum_iqp_zz_linear,3,"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7104293204391645,0.11820838815403482,0.43582441750255496,0.4781371967809245,0.6718705547652917
logistic,4,"{""model__C"": 1.0}",0.7295093889842869,0.058624534426749045,0.6173617095679432,0.5099601806019596,0.7083222192584689
random_forest,4,"{""model__max_depth"": null, ""model__min_samples_leaf"": 3}",0.7491452118895312,0.08232134242418149,0.6464497655516229,0.49749803125233744,0.6888670312083223
mlp,4,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.001}",0.692659574327285,0.08091690738687037,0.5277474054271143,0.46481070116921247,0.670462123232862
rbf_matched,4,"{""C"": 1.0, ""gamma"": 0.1}",0.7113738226305787,0.12769841560071596,0.5683983822205286,0.4902974589833443,0.6776056948519605
quantum_angle_product,4,"{""C"": 1.0, ""feature_scale"": 0.125}",0.7110865938066255,0.10789018497801618,-0.2695974905486845,0.48352039729474283,0.6912760069351827
quantum_iqp_zz_linear,4,"{""C"": 0.1, ""feature_scale"": 0.5, ""interaction_strength"": 1.0}",0.7096252460181923,0.14972749818398015,0.06535323416911916,0.4615100550116057,0.6639770605494799
logistic,5,"{""model__C"": 1.0}",0.7235408695117258,0.052371286999516514,0.7021670746648798,0.47513442282103135,0.6674844571278811
random_forest,5,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1}",0.7644059170985916,0.05177029943603067,0.5366666666666666,0.47070159128512035,0.6740073673941847
mlp,5,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32, 16], ""model__learning_rate_init"": 0.001}",0.6752162437411278,0.03255501308364164,0.5134378167505225,0.4001291590288775,0.6364351130589246
rbf_matched,5,"{""C"": 10.0, ""gamma"": 0.01}",0.7292558718377771,0.04198735798242945,0.24006136819399015,0.4739298933729315,0.6817897235043171
quantum_angle_product,5,"{""C"": 10.0, ""feature_scale"": 0.125}",0.7307897627683984,0.05538953791007838,0.30997307341526437,0.47070159128512035,0.6740073673941847
quantum_iqp_zz_linear,5,"{""C"": 1.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.7269897232960126,0.053740423929951604,0.06840351123842597,0.47830595973682105,0.6879413520478734
