LEFT_MODEL,RIGHT_MODEL,METRIC,OBSERVED_DELTA,BOOTSTRAP_MEDIAN,CI_LOW_95,CI_HIGH_95,P_DELTA_GT_0,REPLICATES,RESAMPLING_UNIT
random_forest,logistic,AUROC,0.03129711343997055,0.03108413875694921,-0.02101590839137699,0.09315183096729601,0.8675,2000,BUTINA_CLUSTER_ID
random_forest,logistic,AUPRC,0.029509866306524413,0.027969177006515022,-0.023484628527111678,0.08116910315813927,0.852,2000,BUTINA_CLUSTER_ID
random_forest,mlp,AUROC,0.08885364956793529,0.08785539326707126,0.02165051228489753,0.16157296993919554,0.9955,2000,BUTINA_CLUSTER_ID
random_forest,mlp,AUPRC,0.09857196362680642,0.09584253721908115,0.0365795109563913,0.15220361618503914,0.999,2000,BUTINA_CLUSTER_ID
quantum_angle_product,rbf_matched,AUROC,0.001746644603787595,0.0013128199904794413,-0.019700962816907263,0.024237551492110425,0.541,2000,BUTINA_CLUSTER_ID
quantum_angle_product,rbf_matched,AUPRC,-0.028123485235605705,-0.025712023168391718,-0.053624128605654686,0.0008372256539091221,0.033,2000,BUTINA_CLUSTER_ID
quantum_iqp_zz_linear,rbf_matched,AUROC,-0.0014157014157014647,-0.0010798044272685159,-0.02371316424979103,0.025540266928484136,0.469,2000,BUTINA_CLUSTER_ID
quantum_iqp_zz_linear,rbf_matched,AUPRC,-0.010889400713484543,-0.008837563421701888,-0.037972292803215305,0.021014063001231122,0.2745,2000,BUTINA_CLUSTER_ID
quantum_angle_product,quantum_iqp_zz_linear,AUROC,0.0031623460194890596,0.001751691783958842,-0.020938588319789224,0.02791266454539296,0.5655,2000,BUTINA_CLUSTER_ID
quantum_angle_product,quantum_iqp_zz_linear,AUPRC,-0.017234084522121162,-0.016501365614665087,-0.05911781539725541,0.02060636676997317,0.208,2000,BUTINA_CLUSTER_ID
