MODEL,PERMUTATION,RANDOMIZED_AUROC,MODE
logistic,1,0.5034105534105535,fixed_configuration
random_forest,1,0.4717687074829932,fixed_configuration
mlp,1,0.47703621989336276,fixed_configuration
rbf_matched,1,0.49618496047067473,fixed_configuration
quantum_angle_product,1,0.5087240301526016,fixed_configuration
quantum_iqp_zz_linear,1,0.5056719985291414,fixed_configuration
logistic,2,0.5051342158485016,fixed_configuration
random_forest,2,0.4959827174112888,fixed_configuration
mlp,2,0.4873092480235338,fixed_configuration
rbf_matched,2,0.47268339768339773,fixed_configuration
quantum_angle_product,2,0.467618128332414,fixed_configuration
quantum_iqp_zz_linear,2,0.4672228350799779,fixed_configuration
logistic,3,0.4767696267696268,fixed_configuration
random_forest,3,0.46329288472145613,fixed_configuration
mlp,3,0.49979775694061407,fixed_configuration
rbf_matched,3,0.4439051296194154,fixed_configuration
quantum_angle_product,3,0.46221731936017657,fixed_configuration
quantum_iqp_zz_linear,3,0.46047986762272475,fixed_configuration
logistic,4,0.5079196543482257,fixed_configuration
random_forest,4,0.5281301709873139,fixed_configuration
mlp,4,0.5591698841698842,fixed_configuration
rbf_matched,4,0.5386697922412208,fixed_configuration
quantum_angle_product,4,0.5348271741128885,fixed_configuration
quantum_iqp_zz_linear,4,0.5357188821474537,fixed_configuration
logistic,5,0.5023671630814488,fixed_configuration
random_forest,5,0.49584942084942085,fixed_configuration
mlp,5,0.5045642581356867,fixed_configuration
rbf_matched,5,0.506917631917632,fixed_configuration
quantum_angle_product,5,0.5209091744806031,fixed_configuration
quantum_iqp_zz_linear,5,0.5218560397131826,fixed_configuration
logistic,6,0.5086045228902372,fixed_configuration
random_forest,6,0.47540908255193964,fixed_configuration
mlp,6,0.48909726052583197,fixed_configuration
rbf_matched,6,0.49481522338665196,fixed_configuration
quantum_angle_product,6,0.48467549181834896,fixed_configuration
quantum_iqp_zz_linear,6,0.484142305570877,fixed_configuration
logistic,7,0.5003861003861003,fixed_configuration
random_forest,7,0.43333333333333335,fixed_configuration
mlp,7,0.4613623827909542,fixed_configuration
rbf_matched,7,0.47458172458172454,fixed_configuration
quantum_angle_product,7,0.47735797021511317,fixed_configuration
quantum_iqp_zz_linear,7,0.4788839860268431,fixed_configuration
logistic,8,0.47443004228718516,fixed_configuration
random_forest,8,0.44358797573083286,fixed_configuration
mlp,8,0.5147039897039898,fixed_configuration
rbf_matched,8,0.4600799779371208,fixed_configuration
quantum_angle_product,8,0.4788518109946681,fixed_configuration
quantum_iqp_zz_linear,8,0.4769580805295091,fixed_configuration
logistic,9,0.48494668137525276,fixed_configuration
random_forest,9,0.5210378746093032,fixed_configuration
mlp,9,0.49096800882515174,fixed_configuration
rbf_matched,9,0.5134537598823313,fixed_configuration
quantum_angle_product,9,0.5104476925905497,fixed_configuration
quantum_iqp_zz_linear,9,0.5102178709321566,fixed_configuration
logistic,10,0.5406416620702335,fixed_configuration
random_forest,10,0.5271741128883987,fixed_configuration
mlp,10,0.51721823864681,fixed_configuration
rbf_matched,10,0.5323405037690753,fixed_configuration
quantum_angle_product,10,0.5413862842434272,fixed_configuration
quantum_iqp_zz_linear,10,0.5394006251149108,fixed_configuration
logistic,11,0.5197968376539805,fixed_configuration
random_forest,11,0.48142581356867076,fixed_configuration
mlp,11,0.551264019121162,fixed_configuration
rbf_matched,11,0.5096111417539988,fixed_configuration
quantum_angle_product,11,0.5105947784519214,fixed_configuration
quantum_iqp_zz_linear,11,0.5089676411104983,fixed_configuration
logistic,12,0.5092480235337378,fixed_configuration
random_forest,12,0.5201415701415701,fixed_configuration
mlp,12,0.5096295274866703,fixed_configuration
rbf_matched,12,0.4621437764294907,fixed_configuration
quantum_angle_product,12,0.4738830667402096,fixed_configuration
quantum_iqp_zz_linear,12,0.47269718698290125,fixed_configuration
logistic,13,0.5232901268615554,fixed_configuration
random_forest,13,0.4806168413311271,fixed_configuration
mlp,13,0.47222375436661146,fixed_configuration
rbf_matched,13,0.5202289023717596,fixed_configuration
quantum_angle_product,13,0.520945945945946,fixed_configuration
quantum_iqp_zz_linear,13,0.5215342893914322,fixed_configuration
logistic,14,0.4898970398970399,fixed_configuration
random_forest,14,0.5020775877918735,fixed_configuration
mlp,14,0.4500827357970215,fixed_configuration
rbf_matched,14,0.49700312557455417,fixed_configuration
quantum_angle_product,14,0.4995127780842067,fixed_configuration
quantum_iqp_zz_linear,14,0.5024453024453025,fixed_configuration
logistic,15,0.5427790034932892,fixed_configuration
random_forest,15,0.5471226328369185,fixed_configuration
mlp,15,0.4637571244714102,fixed_configuration
rbf_matched,15,0.5120932156646443,fixed_configuration
quantum_angle_product,15,0.5082046332046333,fixed_configuration
quantum_iqp_zz_linear,15,0.5046929582643869,fixed_configuration
logistic,16,0.5078782864497151,fixed_configuration
random_forest,16,0.475432064717779,fixed_configuration
mlp,16,0.4551755837470123,fixed_configuration
rbf_matched,16,0.501829380400809,fixed_configuration
quantum_angle_product,16,0.5169608383894098,fixed_configuration
quantum_iqp_zz_linear,16,0.5158393086964516,fixed_configuration
logistic,17,0.4882882882882883,fixed_configuration
random_forest,17,0.4825013789299504,fixed_configuration
mlp,17,0.5034932892075749,fixed_configuration
rbf_matched,17,0.4795734510020224,fixed_configuration
quantum_angle_product,17,0.47820371391799965,fixed_configuration
quantum_iqp_zz_linear,17,0.4780750137892995,fixed_configuration
logistic,18,0.5061959919102776,fixed_configuration
random_forest,18,0.5075565361279647,fixed_configuration
mlp,18,0.4465526751241037,fixed_configuration
rbf_matched,18,0.5127413127413127,fixed_configuration
quantum_angle_product,18,0.5172090457804743,fixed_configuration
quantum_iqp_zz_linear,18,0.5150211435925722,fixed_configuration
logistic,19,0.5493794815223386,fixed_configuration
random_forest,19,0.5228258871116014,fixed_configuration
mlp,19,0.5414184592756022,fixed_configuration
rbf_matched,19,0.5436339400625114,fixed_configuration
quantum_angle_product,19,0.540986394557823,fixed_configuration
quantum_iqp_zz_linear,19,0.5406738371024086,fixed_configuration
logistic,20,0.4986854201139915,fixed_configuration
random_forest,20,0.489593675307961,fixed_configuration
mlp,20,0.49332597904026476,fixed_configuration
rbf_matched,20,0.4550928479499908,fixed_configuration
quantum_angle_product,20,0.4659863945578231,fixed_configuration
quantum_iqp_zz_linear,20,0.46429490715205,fixed_configuration
logistic,21,0.5114910829196543,fixed_configuration
random_forest,21,0.5306995771281485,fixed_configuration
mlp,21,0.49421768707482994,fixed_configuration
rbf_matched,21,0.5213642213642213,fixed_configuration
quantum_angle_product,21,0.5126493840779555,fixed_configuration
quantum_iqp_zz_linear,21,0.511867990439419,fixed_configuration
logistic,22,0.48301617944475084,fixed_configuration
random_forest,22,0.5236532450818165,fixed_configuration
mlp,22,0.49636422136422137,fixed_configuration
rbf_matched,22,0.495711527854385,fixed_configuration
quantum_angle_product,22,0.48510296010296006,fixed_configuration
quantum_iqp_zz_linear,22,0.4836964515535944,fixed_configuration
logistic,23,0.5316418459275603,fixed_configuration
random_forest,23,0.5116841331127044,fixed_configuration
mlp,23,0.5005791505791506,fixed_configuration
rbf_matched,23,0.5068119139547711,fixed_configuration
quantum_angle_product,23,0.5108291965434824,fixed_configuration
quantum_iqp_zz_linear,23,0.5092204449347307,fixed_configuration
logistic,24,0.5196083838940982,fixed_configuration
random_forest,24,0.4909128516271374,fixed_configuration
mlp,24,0.46796286082000366,fixed_configuration
rbf_matched,24,0.5393454679168965,fixed_configuration
quantum_angle_product,24,0.5361003861003861,fixed_configuration
quantum_iqp_zz_linear,24,0.5365508365508366,fixed_configuration
logistic,25,0.4850202243059386,fixed_configuration
random_forest,25,0.49560121345835634,fixed_configuration
mlp,25,0.4893224857510572,fixed_configuration
rbf_matched,25,0.5007216400073542,fixed_configuration
quantum_angle_product,25,0.5009054973340687,fixed_configuration
quantum_iqp_zz_linear,25,0.5043160507446222,fixed_configuration
logistic,26,0.5180318073175216,fixed_configuration
random_forest,26,0.505253723110866,fixed_configuration
mlp,26,0.4572209965067108,fixed_configuration
rbf_matched,26,0.503194521051664,fixed_configuration
quantum_angle_product,26,0.4911886376172091,fixed_configuration
quantum_iqp_zz_linear,26,0.49062787277072994,fixed_configuration
logistic,27,0.5319452105166391,fixed_configuration
random_forest,27,0.5070555249126678,fixed_configuration
mlp,27,0.5100294171722743,fixed_configuration
rbf_matched,27,0.5357694429123001,fixed_configuration
quantum_angle_product,27,0.5376631733774591,fixed_configuration
quantum_iqp_zz_linear,27,0.5358521787093217,fixed_configuration
logistic,28,0.4677973892259607,fixed_configuration
random_forest,28,0.4622632836918551,fixed_configuration
mlp,28,0.5296469939327082,fixed_configuration
rbf_matched,28,0.4757400257400257,fixed_configuration
quantum_angle_product,28,0.4709229637801067,fixed_configuration
quantum_iqp_zz_linear,28,0.4717227431513147,fixed_configuration
logistic,29,0.462134583563155,fixed_configuration
random_forest,29,0.4450588343445486,fixed_configuration
mlp,29,0.48920297848869276,fixed_configuration
rbf_matched,29,0.4308052950910093,fixed_configuration
quantum_angle_product,29,0.43701047986762276,fixed_configuration
quantum_iqp_zz_linear,29,0.4363210148924435,fixed_configuration
logistic,30,0.46492461849604705,fixed_configuration
random_forest,30,0.45784151498437214,fixed_configuration
mlp,30,0.5022108843537416,fixed_configuration
rbf_matched,30,0.44041643684500825,fixed_configuration
quantum_angle_product,30,0.4472651222651223,fixed_configuration
quantum_iqp_zz_linear,30,0.44708126493840783,fixed_configuration
logistic,31,0.4617209045780475,fixed_configuration
random_forest,31,0.48623827909542194,fixed_configuration
mlp,31,0.50857694429123,fixed_configuration
rbf_matched,31,0.48360911932340506,fixed_configuration
quantum_angle_product,31,0.4695532266960838,fixed_configuration
quantum_iqp_zz_linear,31,0.4700404486118772,fixed_configuration
logistic,32,0.5439097260525833,fixed_configuration
random_forest,32,0.539396028681743,fixed_configuration
mlp,32,0.5118817797389226,fixed_configuration
rbf_matched,32,0.5470996506710792,fixed_configuration
quantum_angle_product,32,0.5571566464423607,fixed_configuration
quantum_iqp_zz_linear,32,0.5586275050560765,fixed_configuration
logistic,33,0.5025326346754919,fixed_configuration
random_forest,33,0.5302491266776982,fixed_configuration
mlp,33,0.4824829931972789,fixed_configuration
rbf_matched,33,0.5194107372678801,fixed_configuration
quantum_angle_product,33,0.5198060305203163,fixed_configuration
quantum_iqp_zz_linear,33,0.5220398970398971,fixed_configuration
logistic,34,0.510774039345468,fixed_configuration
random_forest,34,0.5149889685603972,fixed_configuration
mlp,34,0.5012042654899798,fixed_configuration
rbf_matched,34,0.5018845375988233,fixed_configuration
quantum_angle_product,34,0.5079702151130723,fixed_configuration
quantum_iqp_zz_linear,34,0.508043758043758,fixed_configuration
logistic,35,0.4834620334620335,fixed_configuration
random_forest,35,0.4829426365140651,fixed_configuration
mlp,35,0.4896856039713182,fixed_configuration
rbf_matched,35,0.4638720353006068,fixed_configuration
quantum_angle_product,35,0.4803456517742232,fixed_configuration
quantum_iqp_zz_linear,35,0.479720536863394,fixed_configuration
logistic,36,0.47976650119507264,fixed_configuration
random_forest,36,0.5136789851075565,fixed_configuration
mlp,36,0.5111969111969112,fixed_configuration
rbf_matched,36,0.4818073175216032,fixed_configuration
quantum_angle_product,36,0.4798124655267512,fixed_configuration
quantum_iqp_zz_linear,36,0.4771741128883986,fixed_configuration
logistic,37,0.5467641110498254,fixed_configuration
random_forest,37,0.5182110682110683,fixed_configuration
mlp,37,0.5424986210700496,fixed_configuration
rbf_matched,37,0.531549917264203,fixed_configuration
quantum_angle_product,37,0.5512502298216584,fixed_configuration
quantum_iqp_zz_linear,37,0.5485291413862843,fixed_configuration
logistic,38,0.5331310902739474,fixed_configuration
random_forest,38,0.5049365692222835,fixed_configuration
mlp,38,0.46799043941901086,fixed_configuration
rbf_matched,38,0.5030704173561317,fixed_configuration
quantum_angle_product,38,0.49853833425261995,fixed_configuration
quantum_iqp_zz_linear,38,0.49800514800514795,fixed_configuration
logistic,39,0.5147867255010112,fixed_configuration
random_forest,39,0.4600156278727708,fixed_configuration
mlp,39,0.5143454679168965,fixed_configuration
rbf_matched,39,0.49510479867622725,fixed_configuration
quantum_angle_product,39,0.5019350983636699,fixed_configuration
quantum_iqp_zz_linear,39,0.49926916712631,fixed_configuration
logistic,40,0.44736164736164735,fixed_configuration
random_forest,40,0.48352638352638355,fixed_configuration
mlp,40,0.47997793712079423,fixed_configuration
rbf_matched,40,0.47753263467549184,fixed_configuration
quantum_angle_product,40,0.4516731016731017,fixed_configuration
quantum_iqp_zz_linear,40,0.45383342526199677,fixed_configuration
logistic,41,0.44273303916161055,fixed_configuration
random_forest,41,0.4651728258871116,fixed_configuration
mlp,41,0.5098685420113991,fixed_configuration
rbf_matched,41,0.48265765765765767,fixed_configuration
quantum_angle_product,41,0.46944750873322305,fixed_configuration
quantum_iqp_zz_linear,41,0.4733177054605627,fixed_configuration
logistic,42,0.5184592756021328,fixed_configuration
random_forest,42,0.49316050744622175,fixed_configuration
mlp,42,0.5062971134399705,fixed_configuration
rbf_matched,42,0.5013329656186798,fixed_configuration
quantum_angle_product,42,0.5045596617025189,fixed_configuration
quantum_iqp_zz_linear,42,0.5053594410737269,fixed_configuration
logistic,43,0.48939143224857506,fixed_configuration
random_forest,43,0.4830437580437581,fixed_configuration
mlp,43,0.5178617392903108,fixed_configuration
rbf_matched,43,0.48314947600661884,fixed_configuration
quantum_angle_product,43,0.48684500827357974,fixed_configuration
quantum_iqp_zz_linear,43,0.48763559477845186,fixed_configuration
logistic,44,0.4372586872586873,fixed_configuration
random_forest,44,0.47437488508917075,fixed_configuration
mlp,44,0.46866151866151873,fixed_configuration
rbf_matched,44,0.4734969663541092,fixed_configuration
quantum_angle_product,44,0.4713550284978856,fixed_configuration
quantum_iqp_zz_linear,44,0.47016914874057725,fixed_configuration
logistic,45,0.5037001287001288,fixed_configuration
random_forest,45,0.4930364037506895,fixed_configuration
mlp,45,0.4784749034749035,fixed_configuration
rbf_matched,45,0.4734923699209414,fixed_configuration
quantum_angle_product,45,0.4754412575841147,fixed_configuration
quantum_iqp_zz_linear,45,0.4730603052031624,fixed_configuration
logistic,46,0.5230603052031624,fixed_configuration
random_forest,46,0.47596984739841885,fixed_configuration
mlp,46,0.5086918551204265,fixed_configuration
rbf_matched,46,0.4985061592204449,fixed_configuration
quantum_angle_product,46,0.49456241956241964,fixed_configuration
quantum_iqp_zz_linear,46,0.49618955690384264,fixed_configuration
logistic,47,0.5225776797205369,fixed_configuration
random_forest,47,0.5011583011583012,fixed_configuration
mlp,47,0.532712814855672,fixed_configuration
rbf_matched,47,0.5103787460930318,fixed_configuration
quantum_angle_product,47,0.5147361647361648,fixed_configuration
quantum_iqp_zz_linear,47,0.5146902004044862,fixed_configuration
logistic,48,0.5621575657289943,fixed_configuration
random_forest,48,0.5316556352270638,fixed_configuration
mlp,48,0.5317843353557639,fixed_configuration
rbf_matched,48,0.5628654164368451,fixed_configuration
quantum_angle_product,48,0.5594180915609487,fixed_configuration
quantum_iqp_zz_linear,48,0.5611555432984004,fixed_configuration
logistic,49,0.5080345651774223,fixed_configuration
random_forest,49,0.49069222283507996,fixed_configuration
mlp,49,0.5353143960286817,fixed_configuration
rbf_matched,49,0.508972237543666,fixed_configuration
quantum_angle_product,49,0.5097904026475455,fixed_configuration
quantum_iqp_zz_linear,49,0.509110130538702,fixed_configuration
logistic,50,0.4936569222283508,fixed_configuration
