MODEL,STAGE,FOLD,N,PARAMS,SYMMETRY_ERROR,DIAGONAL_ERROR,MIN_EIGENVALUE,PASS
quantum_angle_product,nested_hpo,1.1,431,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,3.7091057775267273e-16,True
quantum_angle_product,nested_hpo,1.1,431,"{""feature_scale"": 0.25}",0.0,1.5543122344752194e-15,3.470837709064163e-16,True
quantum_angle_product,nested_hpo,1.1,431,"{""feature_scale"": 0.5}",0.0,2.220446049250313e-15,1.2696258221344658e-17,True
quantum_angle_product,nested_hpo,1.1,431,"{""feature_scale"": 1.0}",0.0,2.664535259100376e-15,-2.156967100404888e-16,True
quantum_angle_product,nested_hpo,1.2,431,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,8.818082346447744e-12,True
quantum_angle_product,nested_hpo,1.2,431,"{""feature_scale"": 0.25}",0.0,1.7763568394002505e-15,2.3070465180968684e-09,True
quantum_angle_product,nested_hpo,1.2,431,"{""feature_scale"": 0.5}",0.0,1.7763568394002505e-15,4.826931804637447e-07,True
quantum_angle_product,nested_hpo,1.2,431,"{""feature_scale"": 1.0}",0.0,1.5543122344752194e-15,3.3610378094883186e-05,True
quantum_angle_product,nested_hpo,1.3,431,"{""feature_scale"": 0.125}",0.0,2.4424906541753444e-15,-5.616057641327523e-16,True
quantum_angle_product,nested_hpo,1.3,431,"{""feature_scale"": 0.25}",0.0,1.7763568394002505e-15,3.566379595451656e-16,True
quantum_angle_product,nested_hpo,1.3,431,"{""feature_scale"": 0.5}",0.0,1.5543122344752194e-15,1.0171104957645156e-16,True
quantum_angle_product,nested_hpo,1.3,431,"{""feature_scale"": 1.0}",0.0,1.5543122344752194e-15,7.823302319682167e-17,True
quantum_angle_product,nested_hpo,1.4,432,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,2.9188117844952187e-12,True
quantum_angle_product,nested_hpo,1.4,432,"{""feature_scale"": 0.25}",0.0,1.9984014443252818e-15,7.29826453382731e-10,True
quantum_angle_product,nested_hpo,1.4,432,"{""feature_scale"": 0.5}",0.0,2.220446049250313e-15,1.4484831713453553e-07,True
quantum_angle_product,nested_hpo,1.4,432,"{""feature_scale"": 1.0}",0.0,2.220446049250313e-15,1.3630067294776564e-05,True
quantum_angle_product,nested_threshold,1.1,431,"{""C"": 1.0, ""feature_scale"": 0.5}",0.0,2.220446049250313e-15,1.2696258221344658e-17,True
quantum_angle_product,nested_threshold,1.2,431,"{""C"": 1.0, ""feature_scale"": 0.5}",0.0,1.7763568394002505e-15,4.826931804637447e-07,True
quantum_angle_product,nested_threshold,1.3,431,"{""C"": 1.0, ""feature_scale"": 0.5}",0.0,1.5543122344752194e-15,1.0171104957645156e-16,True
quantum_angle_product,nested_threshold,1.4,432,"{""C"": 1.0, ""feature_scale"": 0.5}",0.0,2.220446049250313e-15,1.4484831713453553e-07,True
quantum_angle_product,nested_outer_fit,1.0,575,"{""C"": 1.0, ""feature_scale"": 0.5}",0.0,2.220446049250313e-15,-3.60202648810967e-16,True
quantum_iqp_zz_linear,nested_hpo,1.1,431,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",7.771561172376097e-16,4.440892098500626e-16,1.3670221822643452e-16,True
quantum_iqp_zz_linear,nested_hpo,1.1,431,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",5.551115123125784e-16,4.440892098500626e-16,1.8310351031323536e-16,True
quantum_iqp_zz_linear,nested_hpo,1.1,431,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",2.7755575615628914e-16,4.440892098500626e-16,-2.036990924360328e-16,True
quantum_iqp_zz_linear,nested_hpo,1.1,431,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",2.775557561562892e-17,4.440892098500626e-16,-1.5214468801790729e-15,True
quantum_iqp_zz_linear,nested_hpo,1.2,431,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,6.661338147750939e-16,4.577373296062127e-09,True
quantum_iqp_zz_linear,nested_hpo,1.2,431,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",7.771561172376097e-16,4.440892098500626e-16,9.159510461672522e-07,True
quantum_iqp_zz_linear,nested_hpo,1.2,431,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",5.551115123125784e-16,4.440892098500626e-16,6.138973368092557e-05,True
quantum_iqp_zz_linear,nested_hpo,1.2,431,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",2.220446049250313e-16,4.440892098500626e-16,0.0009178643473543,True
quantum_iqp_zz_linear,nested_hpo,1.3,431,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,4.440892098500626e-16,2.384230111509693e-16,True
quantum_iqp_zz_linear,nested_hpo,1.3,431,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",7.771561172376097e-16,4.440892098500626e-16,-1.7282948562155828e-16,True
quantum_iqp_zz_linear,nested_hpo,1.3,431,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",1.1102230246251563e-15,4.440892098500626e-16,6.863378791750369e-16,True
quantum_iqp_zz_linear,nested_hpo,1.3,431,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",3.3306690738754696e-16,4.440892098500626e-16,-1.547373340571312e-15,True
quantum_iqp_zz_linear,nested_hpo,1.4,432,"{""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.0,6.661338147750939e-16,1.22025174162311e-09,True
quantum_iqp_zz_linear,nested_hpo,1.4,432,"{""feature_scale"": 0.25, ""interaction_strength"": 1.0}",0.0,4.440892098500626e-16,2.458821542927856e-07,True
quantum_iqp_zz_linear,nested_hpo,1.4,432,"{""feature_scale"": 0.5, ""interaction_strength"": 1.0}",0.0,4.440892098500626e-16,2.095599665505377e-05,True
quantum_iqp_zz_linear,nested_hpo,1.4,432,"{""feature_scale"": 1.0, ""interaction_strength"": 1.0}",0.0,4.440892098500626e-16,0.0002731575586456,True
quantum_iqp_zz_linear,nested_threshold,1.1,431,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",7.771561172376097e-16,4.440892098500626e-16,1.3670221822643452e-16,True
quantum_iqp_zz_linear,nested_threshold,1.2,431,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,6.661338147750939e-16,4.577373296062127e-09,True
quantum_iqp_zz_linear,nested_threshold,1.3,431,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",8.881784197001252e-16,4.440892098500626e-16,2.384230111509693e-16,True
quantum_iqp_zz_linear,nested_threshold,1.4,432,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",0.0,6.661338147750939e-16,1.22025174162311e-09,True
quantum_iqp_zz_linear,nested_outer_fit,1.0,575,"{""C"": 10.0, ""feature_scale"": 0.125, ""interaction_strength"": 1.0}",9.992007221626409e-16,6.661338147750939e-16,-1.1107986397740274e-16,True
quantum_angle_product,nested_hpo,2.1,457,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,-1.6056481952856635e-16,True
quantum_angle_product,nested_hpo,2.1,457,"{""feature_scale"": 0.25}",0.0,2.220446049250313e-15,-1.8963183471680914e-16,True
quantum_angle_product,nested_hpo,2.1,457,"{""feature_scale"": 0.5}",0.0,2.4424906541753444e-15,2.471241740132861e-17,True
quantum_angle_product,nested_hpo,2.1,457,"{""feature_scale"": 1.0}",0.0,2.220446049250313e-15,-3.0651394671769246e-16,True
quantum_angle_product,nested_hpo,2.2,455,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,2.8017993157659066e-12,True
quantum_angle_product,nested_hpo,2.2,455,"{""feature_scale"": 0.25}",0.0,1.7763568394002505e-15,8.035136446793572e-10,True
quantum_angle_product,nested_hpo,2.2,455,"{""feature_scale"": 0.5}",0.0,2.220446049250313e-15,2.205991647628608e-07,True
quantum_angle_product,nested_hpo,2.2,455,"{""feature_scale"": 1.0}",0.0,2.4424906541753444e-15,3.53366343908545e-05,True
quantum_angle_product,nested_hpo,2.3,453,"{""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,3.523785674713319e-12,True
quantum_angle_product,nested_hpo,2.3,453,"{""feature_scale"": 0.25}",0.0,1.7763568394002505e-15,9.617272886400124e-10,True
quantum_angle_product,nested_hpo,2.3,453,"{""feature_scale"": 0.5}",0.0,1.9984014443252818e-15,2.663915532233317e-07,True
quantum_angle_product,nested_hpo,2.3,453,"{""feature_scale"": 1.0}",0.0,2.4424906541753444e-15,4.898898220571738e-05,True
quantum_angle_product,nested_hpo,2.4,456,"{""feature_scale"": 0.125}",0.0,2.4424906541753444e-15,5.635501691740988e-17,True
quantum_angle_product,nested_hpo,2.4,456,"{""feature_scale"": 0.25}",0.0,1.7763568394002505e-15,-2.1279210452879883e-16,True
quantum_angle_product,nested_hpo,2.4,456,"{""feature_scale"": 0.5}",0.0,2.220446049250313e-15,-2.620612543765041e-16,True
quantum_angle_product,nested_hpo,2.4,456,"{""feature_scale"": 1.0}",0.0,1.9984014443252818e-15,2.0567727623623923e-16,True
quantum_angle_product,nested_threshold,2.1,457,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,-1.6056481952856635e-16,True
quantum_angle_product,nested_threshold,2.2,455,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,2.8017993157659066e-12,True
quantum_angle_product,nested_threshold,2.3,453,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,3.523785674713319e-12,True
quantum_angle_product,nested_threshold,2.4,456,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,2.4424906541753444e-15,5.635501691740988e-17,True
quantum_angle_product,nested_outer_fit,2.0,607,"{""C"": 10.0, ""feature_scale"": 0.125}",0.0,1.9984014443252818e-15,-5.768562844530025e-17,True
