evaluation_status,representation,n_features,model,outer_fold,n_train,n_validation,positive_prevalence,best_inner_auroc,elapsed_seconds,auroc,auprc,balanced_accuracy,mcc,accuracy,precision,recall,f1
development_oof,x10,10,logistic,1,575,137,0.291970802919708,0.765224835359411,3.335191300000588,0.5716494845360824,0.4852908604227941,0.5645618556701031,0.13875614463168323,0.6642335766423357,0.40625,0.325,0.3611111111111111
development_oof,x10,10,logistic,2,607,105,0.3523809523809524,0.7647429088403552,0.09623250000004191,0.6947535771065183,0.6226043930311966,0.6426868044515104,0.3158412910399591,0.7047619047619048,0.6153846153846154,0.43243243243243246,0.5079365079365079
development_oof,x10,10,logistic,3,565,147,0.25170068027210885,0.7172396873022056,0.08389420000003156,0.8019656019656018,0.7017390606756355,0.7428746928746929,0.5230652957301828,0.8299319727891157,0.7,0.5675675675675675,0.6268656716417911
development_oof,x10,10,logistic,4,531,181,0.3259668508287293,0.6951530799920783,0.08591779999915161,0.7165879410947485,0.6752721037950795,0.6678938594053905,0.3565531602332459,0.7292817679558011,0.6041666666666666,0.4915254237288136,0.5420560747663551
development_oof,x10,10,logistic,5,570,142,0.34507042253521125,0.7125353809920406,0.08866120000038791,0.8125960061443932,0.7382891233021467,0.7598200570550802,0.505474143021646,0.7676056338028169,0.6428571428571429,0.7346938775510204,0.6857142857142857
development_oof,x10,10,rbf_svc,1,575,137,0.291970802919708,0.7818310906561423,0.2465459999993982,0.5670103092783506,0.5043690280342603,0.6028350515463917,0.23189680436108592,0.708029197080292,0.5,0.35,0.4117647058823529
development_oof,x10,10,rbf_svc,2,607,105,0.3523809523809524,0.773539826190019,0.2701096000000689,0.6442766295707472,0.5828318645335555,0.6389109697933227,0.3521486100099929,0.7238095238095238,0.7222222222222222,0.35135135135135137,0.4727272727272727
development_oof,x10,10,rbf_svc,3,565,147,0.25170068027210885,0.7388665059967217,0.26913239999976213,0.7965601965601965,0.7104968784840587,0.7431203931203931,0.5915374470496401,0.8571428571428571,0.8636363636363636,0.5135135135135135,0.6440677966101694
development_oof,x10,10,rbf_svc,4,531,181,0.3259668508287293,0.7074760297506744,0.23475169999983336,0.7685468185607113,0.7323221834815695,0.6694915254237288,0.5068225963001588,0.7845303867403315,1.0,0.3389830508474576,0.5063291139240507
development_oof,x10,10,rbf_svc,5,570,142,0.34507042253521125,0.7240001353222435,0.24603159999969648,0.8014044327408383,0.7345701087321969,0.7942725477287689,0.6319908509884269,0.8380281690140845,0.8421052631578947,0.6530612244897959,0.735632183908046
development_oof,x10,10,random_forest,1,575,137,0.291970802919708,0.7643901053321344,1.8527573000001212,0.6914948453608247,0.5340072832267188,0.6161082474226804,0.28757337050084014,0.7372262773722628,0.5909090909090909,0.325,0.41935483870967744
development_oof,x10,10,random_forest,2,607,105,0.3523809523809524,0.7592666934296801,1.6920376999996734,0.7543720190779015,0.6587013615245914,0.6365262321144675,0.31063707513958283,0.7047619047619048,0.625,0.40540540540540543,0.4918032786885246
development_oof,x10,10,random_forest,3,565,147,0.25170068027210885,0.75837218218998,1.5975079999998343,0.74004914004914,0.6672849437874757,0.7024570024570025,0.4837101963279821,0.8231292517006803,0.7391304347826086,0.4594594594594595,0.5666666666666667
development_oof,x10,10,random_forest,4,531,181,0.3259668508287293,0.7666961840138077,1.6464100000002873,0.7349958321756044,0.6878922760741224,0.682620172270075,0.4881262258436244,0.7845303867403315,0.8846153846153846,0.3898305084745763,0.5411764705882353
development_oof,x10,10,random_forest,5,570,142,0.34507042253521125,0.7351822121634868,1.6399038999998083,0.8463901689708142,0.7619558279538937,0.7405091068685539,0.4834109571391736,0.7676056338028169,0.6666666666666666,0.6530612244897959,0.6597938144329897
development_oof,without_n_op,9,logistic,1,575,137,0.291970802919708,0.7292078454863135,0.08622120000018185,0.5695876288659794,0.45854617954211496,0.5423969072164948,0.08008209142786295,0.5912408759124088,0.34,0.425,0.37777777777777777
development_oof,without_n_op,9,logistic,2,607,105,0.3523809523809524,0.732997050250467,0.09069300000010116,0.6176470588235294,0.4952828105979843,0.5949920508744038,0.18603328838864525,0.6190476190476191,0.4634146341463415,0.5135135135135135,0.48717948717948717
development_oof,without_n_op,9,logistic,3,565,147,0.25170068027210885,0.6817352556924225,0.08730990000003658,0.6555282555282556,0.49037852705759866,0.6297297297297297,0.2550483582571451,0.7142857142857143,0.4358974358974359,0.4594594594594595,0.4473684210526316
development_oof,without_n_op,9,logistic,4,531,181,0.3259668508287293,0.6815520694833566,0.08363209999970422,0.7318699638788553,0.6418722455049743,0.6756043345373715,0.3296553438158688,0.6629834254143646,0.4883720930232558,0.711864406779661,0.5793103448275863
development_oof,without_n_op,9,logistic,5,570,142,0.34507042253521125,0.6773807704259229,0.08394250000037573,0.7344744349352644,0.5097039487622367,0.7199912222953697,0.4189930600369069,0.6901408450704225,0.5333333333333333,0.8163265306122449,0.6451612903225806
development_oof,without_n_op,9,rbf_svc,1,575,137,0.291970802919708,0.771362396517676,0.22361189999992348,0.5706185567010309,0.4370637922948498,0.5431701030927836,0.08459229150653626,0.6131386861313869,0.3488372093023256,0.375,0.3614457831325301
development_oof,without_n_op,9,rbf_svc,2,607,105,0.3523809523809524,0.7528312380054739,0.23980029999984254,0.6522257551669317,0.5395652709866319,0.5961844197138315,0.19123212173826962,0.6285714285714286,0.47368421052631576,0.4864864864864865,0.48
development_oof,without_n_op,9,rbf_svc,3,565,147,0.25170068027210885,0.7262576683382833,0.23888410000017757,0.7176904176904176,0.6007957971183602,0.6885749385749386,0.38817940940332146,0.7755102040816326,0.5588235294117647,0.5135135135135135,0.5352112676056338
development_oof,without_n_op,9,rbf_svc,4,531,181,0.3259668508287293,0.6988858157629323,0.2221522999998342,0.7634065018060572,0.705758192662572,0.6892192275632121,0.39201677822171255,0.7403314917127072,0.6153846153846154,0.5423728813559322,0.5765765765765766
development_oof,without_n_op,9,rbf_svc,5,570,142,0.34507042253521125,0.7041363629826329,0.24111050000010437,0.8226903664691683,0.6736157069998878,0.7490673688830372,0.4817621796786001,0.7535211267605634,0.6206896551724138,0.7346938775510204,0.6728971962616822
development_oof,without_n_op,9,random_forest,1,575,137,0.291970802919708,0.7182455905799591,1.6992251000001488,0.6381443298969072,0.4321612823165244,0.5579896907216495,0.14108482613423,0.6861313868613139,0.43478260869565216,0.25,0.31746031746031744
development_oof,without_n_op,9,random_forest,2,607,105,0.3523809523809524,0.7164829099042267,1.7097984000001816,0.683227344992051,0.5248142133001438,0.5985691573926868,0.20459260820259603,0.6476190476190476,0.5,0.43243243243243246,0.463768115942029
development_oof,without_n_op,9,random_forest,3,565,147,0.25170068027210885,0.7211502101692715,1.6915605999993204,0.657985257985258,0.5503375243093201,0.6347665847665848,0.32790125286177624,0.7755102040816326,0.5909090909090909,0.35135135135135137,0.4406779661016949
development_oof,without_n_op,9,random_forest,4,531,181,0.3259668508287293,0.7329425476411011,1.6310393000003387,0.7074187274242846,0.6341214072232005,0.6290636287857738,0.30311298190985897,0.7182320441988951,0.6111111111111112,0.3728813559322034,0.4631578947368421
development_oof,without_n_op,9,random_forest,5,570,142,0.34507042253521125,0.6862911981052271,1.6756144999999378,0.7919684002633312,0.617601091346835,0.6605222734254992,0.36945578867548035,0.7323943661971831,0.6774193548387096,0.42857142857142855,0.525
development_oof,without_mollogp,9,logistic,1,575,137,0.291970802919708,0.7447531113162582,0.08454729999994015,0.5260309278350516,0.48687867392477524,0.5925257731958763,0.20344923690360678,0.6934306569343066,0.4666666666666667,0.35,0.4
development_oof,without_mollogp,9,logistic,2,607,105,0.3523809523809524,0.7342454367815232,0.08478239999931247,0.7305246422893482,0.6689255459740737,0.6218203497615262,0.2696528014031963,0.6857142857142857,0.5769230769230769,0.40540540540540543,0.47619047619047616
development_oof,without_mollogp,9,logistic,3,565,147,0.25170068027210885,0.7009004972247919,0.08427790000041568,0.7911547911547911,0.7215979147545531,0.7744471744471744,0.5839506183290013,0.8503401360544217,0.7419354838709677,0.6216216216216216,0.6764705882352942
development_oof,without_mollogp,9,logistic,4,531,181,0.3259668508287293,0.6895783176603439,0.08606870000039635,0.743678799666574,0.7031849082252013,0.653375937760489,0.40359976565828515,0.7569060773480663,0.7777777777777778,0.3559322033898305,0.4883720930232558
development_oof,without_mollogp,9,logistic,5,570,142,0.34507042253521125,0.6924322767738653,0.08539990000008402,0.804696071977178,0.7460649842988593,0.7974544656572307,0.5949089313144613,0.8169014084507042,0.7346938775510204,0.7346938775510204,0.7346938775510204
development_oof,without_mollogp,9,rbf_svc,1,575,137,0.291970802919708,0.7684401069753036,0.22554820000004838,0.4873711340206186,0.45418770177907775,0.585180412371134,0.1920849469707742,0.6934306569343066,0.4642857142857143,0.325,0.38235294117647056
development_oof,without_mollogp,9,rbf_svc,2,607,105,0.3523809523809524,0.746992942709697,0.2365434000003006,0.6391096979332274,0.596788326177059,0.6462639109697933,0.37936450956127005,0.7333333333333333,0.7647058823529411,0.35135135135135137,0.48148148148148145
development_oof,without_mollogp,9,rbf_svc,3,565,147,0.25170068027210885,0.7158565462859277,0.23595239999940532,0.8167076167076167,0.756376823690641,0.7476658476658476,0.6143253025845326,0.8639455782312925,0.9047619047619048,0.5135135135135135,0.6551724137931034
development_oof,without_mollogp,9,rbf_svc,4,531,181,0.3259668508287293,0.7103383909987321,0.2242378999999346,0.7308974715198667,0.688295935056567,0.6694915254237288,0.5068225963001588,0.7845303867403315,1.0,0.3389830508474576,0.5063291139240507
development_oof,without_mollogp,9,rbf_svc,5,570,142,0.34507042253521125,0.7003508376250751,0.23656519999985903,0.792626728110599,0.7490137719794367,0.7840684660961159,0.615314323092057,0.8309859154929577,0.8378378378378378,0.6326530612244898,0.7209302325581395
development_oof,without_mollogp,9,random_forest,1,575,137,0.291970802919708,0.7322766758584563,1.6760549000000537,0.6740979381443298,0.5445185873904588,0.6168814432989691,0.3403814463812877,0.7591240875912408,0.7333333333333333,0.275,0.4
development_oof,without_mollogp,9,random_forest,2,607,105,0.3523809523809524,0.7453956655969773,1.7300967999999557,0.7486089030206677,0.6711748531453412,0.6659379968203498,0.40374457176462747,0.7428571428571429,0.75,0.40540540540540543,0.5263157894736842
development_oof,without_mollogp,9,random_forest,3,565,147,0.25170068027210885,0.7418199193201551,1.678021599999738,0.72997542997543,0.6428702157310755,0.6619164619164619,0.4099221135987196,0.8027210884353742,0.7,0.3783783783783784,0.49122807017543857
development_oof,without_mollogp,9,random_forest,4,531,181,0.3259668508287293,0.7614066902859482,1.7577848000000813,0.7064462350652959,0.6777388567137409,0.682620172270075,0.4881262258436244,0.7845303867403315,0.8846153846153846,0.3898305084745763,0.5411764705882353
development_oof,without_mollogp,9,random_forest,5,570,142,0.34507042253521125,0.7133317818126033,1.6871258999999554,0.8700899714724599,0.8126431011371605,0.7877989905639675,0.5881209529732245,0.8169014084507042,0.7555555555555555,0.6938775510204082,0.723404255319149
development_oof,without_liphex,9,logistic,1,575,137,0.291970802919708,0.7669870722406955,0.08772379999936675,0.5592783505154639,0.4833044186882963,0.5947164948453608,0.20141779473748475,0.6861313868613139,0.45454545454545453,0.375,0.410958904109589
development_oof,without_liphex,9,logistic,2,607,105,0.3523809523809524,0.7635000494533946,0.0951033000001189,0.6724960254372019,0.5975565215494358,0.6218203497615262,0.2696528014031963,0.6857142857142857,0.5769230769230769,0.40540540540540543,0.47619047619047616
development_oof,without_liphex,9,logistic,3,565,147,0.25170068027210885,0.7026127631173216,0.0872722000003705,0.8233415233415234,0.7223023416967799,0.7744471744471744,0.5839506183290013,0.8503401360544217,0.7419354838709677,0.6216216216216216,0.6764705882352942
development_oof,without_liphex,9,logistic,4,531,181,0.3259668508287293,0.6994877021994813,0.08547509999971226,0.71561544873576,0.6675169713851615,0.6760905807168658,0.37916325458665623,0.7403314917127072,0.6304347826086957,0.4915254237288136,0.5523809523809524
development_oof,without_liphex,9,logistic,5,570,142,0.34507042253521125,0.7197213647455266,0.0851329999995869,0.8079877112135176,0.7433915345369628,0.7544437129690587,0.4935308938546364,0.7605633802816901,0.631578947368421,0.7346938775510204,0.6792452830188679
development_oof,without_liphex,9,rbf_svc,1,575,137,0.291970802919708,0.7947893979726278,0.2476619999997638,0.5564432989690722,0.497018025121768,0.6079896907216495,0.24685954897272733,0.7153284671532847,0.5185185185185185,0.35,0.417910447761194
development_oof,without_liphex,9,rbf_svc,2,607,105,0.3523809523809524,0.7758561566982751,0.2361124999997628,0.643879173290938,0.5792438036652388,0.6389109697933227,0.3521486100099929,0.7238095238095238,0.7222222222222222,0.35135135135135137,0.4727272727272727
development_oof,without_liphex,9,rbf_svc,3,565,147,0.25170068027210885,0.7375235324666894,0.23229579999951966,0.8144963144963145,0.7259362181349026,0.7746928746928747,0.6562961158916069,0.8775510204081632,0.9130434782608695,0.5675675675675675,0.7
development_oof,without_liphex,9,rbf_svc,4,531,181,0.3259668508287293,0.7261509168269613,0.2293214999999691,0.6130869686023895,0.5290151060501949,0.5946790775215338,0.1813470258857789,0.6187845303867403,0.4305555555555556,0.5254237288135594,0.4732824427480916
development_oof,without_liphex,9,rbf_svc,5,570,142,0.34507042253521125,0.7247316762568953,0.2322402999998303,0.8057932850559579,0.7404810066666899,0.7942725477287689,0.6319908509884269,0.8380281690140845,0.8421052631578947,0.6530612244897959,0.735632183908046
development_oof,without_liphex,9,random_forest,1,575,137,0.291970802919708,0.7887706802820674,1.709937099999479,0.6739690721649485,0.5069060441974836,0.5807989690721649,0.20012042542067346,0.708029197080292,0.5,0.275,0.3548387096774194
development_oof,without_liphex,9,random_forest,2,607,105,0.3523809523809524,0.7690233390931993,1.8897016999999323,0.7118441971383148,0.6342880194487126,0.6450715421303657,0.35297429627326715,0.7238095238095238,0.7,0.3783783783783784,0.49122807017543857
development_oof,without_liphex,9,random_forest,3,565,147,0.25170068027210885,0.7564262399175552,1.8644081000002188,0.7638820638820638,0.6978803435837766,0.7115479115479115,0.5247361959576216,0.8367346938775511,0.8095238095238095,0.4594594594594595,0.5862068965517241
development_oof,without_liphex,9,random_forest,4,531,181,0.3259668508287293,0.7729526594751415,1.935193000000254,0.7488885801611559,0.6923447328329001,0.670602945262573,0.419231896695307,0.7624309392265194,0.75,0.4067796610169492,0.5274725274725275
development_oof,without_liphex,9,random_forest,5,570,142,0.34507042253521125,0.7436324554166596,2.0062606999999844,0.8571428571428572,0.7871735481969965,0.7566381391266184,0.5244433507450904,0.7887323943661971,0.7111111111111111,0.6530612244897959,0.6808510638297872
development_oof,without_partition_pair,8,logistic,1,575,137,0.291970802919708,0.7460012976058525,0.0905481999998301,0.5332474226804124,0.4933629952278681,0.6234536082474227,0.29532812197965286,0.7372262773722628,0.5833333333333334,0.35,0.4375
development_oof,without_partition_pair,8,logistic,2,607,105,0.3523809523809524,0.7342662986336733,0.08935099999962404,0.6788553259141494,0.6466039726473738,0.6144674085850557,0.2502291966376925,0.6761904761904762,0.5555555555555556,0.40540540540540543,0.46875
development_oof,without_partition_pair,8,logistic,3,565,147,0.25170068027210885,0.6891352021357742,0.08572670000012295,0.7968058968058969,0.7102297824143284,0.7744471744471744,0.5839506183290013,0.8503401360544217,0.7419354838709677,0.6216216216216216,0.6764705882352942
development_oof,without_partition_pair,8,logistic,4,531,181,0.3259668508287293,0.6914051973508537,0.08893099999932019,0.7279799944429008,0.6845504815827868,0.6659488746874132,0.43668471021632393,0.7679558011049724,0.8148148148148148,0.3728813559322034,0.5116279069767442
development_oof,without_partition_pair,8,logistic,5,570,142,0.34507042253521125,0.6999429848818252,0.0875103999997009,0.7974544656572307,0.7401688512032988,0.7920781215712092,0.5814195370786612,0.8098591549295775,0.72,0.7346938775510204,0.7272727272727273
development_oof,without_partition_pair,8,rbf_svc,1,575,137,0.291970802919708,0.7776269049560975,0.23296709999976883,0.5146907216494845,0.4360890451360394,0.572680412371134,0.16614413558546326,0.6861313868613139,0.4444444444444444,0.3,0.3582089552238806
development_oof,without_partition_pair,8,rbf_svc,2,607,105,0.3523809523809524,0.7504081151773714,0.2557722999999896,0.6446740858505565,0.619206937595139,0.6462639109697933,0.37936450956127005,0.7333333333333333,0.7647058823529411,0.35135135135135137,0.48148148148148145
development_oof,without_partition_pair,8,rbf_svc,3,565,147,0.25170068027210885,0.7266453454403817,0.2681793000001562,0.813022113022113,0.7530609865522931,0.7476658476658476,0.6143253025845326,0.8639455782312925,0.9047619047619048,0.5135135135135135,0.6551724137931034
development_oof,without_partition_pair,8,rbf_svc,4,531,181,0.3259668508287293,0.7066266549567207,0.2504393999997774,0.6314253959433176,0.5300814175059173,0.6160044456793554,0.22034799560933951,0.6298342541436464,0.4473684210526316,0.576271186440678,0.5037037037037037
development_oof,without_partition_pair,8,rbf_svc,5,570,142,0.34507042253521125,0.7051088145553563,0.2731344000003446,0.7985516787360105,0.7531759254991202,0.7948211542681589,0.65043251154853,0.8450704225352113,0.8857142857142857,0.6326530612244898,0.7380952380952381
development_oof,without_partition_pair,8,random_forest,1,575,137,0.291970802919708,0.7489714755760305,1.865313100000094,0.6672680412371134,0.5086754755374996,0.5742268041237113,0.23031599604417088,0.7299270072992701,0.6153846153846154,0.2,0.3018867924528302
development_oof,without_partition_pair,8,random_forest,2,607,105,0.3523809523809524,0.7333445174886319,1.8144205999997212,0.7313195548489666,0.6522435473869592,0.6856120826709062,0.4287663692259962,0.7523809523809524,0.7391304347826086,0.4594594594594595,0.5666666666666667
development_oof,without_partition_pair,8,random_forest,3,565,147,0.25170068027210885,0.738321455523638,1.8298336999996536,0.7541769041769042,0.6661083757220199,0.6664619164619165,0.4306855543379365,0.8095238095238095,0.7368421052631579,0.3783783783783784,0.5
development_oof,without_partition_pair,8,random_forest,4,531,181,0.3259668508287293,0.7661530953691942,1.7861218000007284,0.6818560711308698,0.6420112031560424,0.6662267296471243,0.4190710656648984,0.7624309392265194,0.7666666666666667,0.3898305084745763,0.5168539325842697
development_oof,without_partition_pair,8,random_forest,5,570,142,0.34507042253521125,0.7126246348369574,1.8360536999998658,0.8573622997586131,0.797941424873704,0.7679394338380514,0.56633847074635,0.8098591549295775,0.775,0.6326530612244898,0.6966292134831461
