family,comparison,source_run,evaluation_status,metric,left_model,left_representation,right_model,right_representation,delta,ci_low,ci_high,bootstrap_probability_delta_gt_zero,n_molecules
descriptor_ablation,X10 vs X10 - n_OP (Logistic regression),classical,development_oof,auroc,logistic,x10,logistic,without_n_op,0.04841882699025546,0.020811730097444327,0.07295527670527675,0.9995,712
descriptor_ablation,X10 vs X10 - n_OP (Logistic regression),classical,development_oof,auprc,logistic,x10,logistic,without_n_op,0.13077930943450733,0.07678200206338055,0.17889759154946855,1.0,712
descriptor_ablation,X10 vs X10 - MolLogP (Logistic regression),classical,development_oof,auroc,logistic,x10,logistic,without_mollogp,0.0056903842618127864,-0.018810902739474056,0.029741450634307894,0.673,712
descriptor_ablation,X10 vs X10 - MolLogP (Logistic regression),classical,development_oof,auprc,logistic,x10,logistic,without_mollogp,-0.017544970359296364,-0.042656997551617656,0.00822236066527257,0.1005,712
descriptor_ablation,X10 vs X10 - LiPHEX (Logistic regression),classical,development_oof,auroc,logistic,x10,logistic,without_liphex,-0.003217503217503359,-0.011151866151866115,0.004404072439786854,0.2105,712
descriptor_ablation,X10 vs X10 - LiPHEX (Logistic regression),classical,development_oof,auprc,logistic,x10,logistic,without_liphex,-0.008543084083852737,-0.023014501135467214,0.008363983425788972,0.177,712
descriptor_ablation,X10 vs X10 - both partition descriptors (Logistic regression),classical,development_oof,auroc,logistic,x10,logistic,without_partition_pair,0.011757676043390286,-0.010609716859716898,0.03340756572899424,0.857,712
descriptor_ablation,X10 vs X10 - both partition descriptors (Logistic regression),classical,development_oof,auprc,logistic,x10,logistic,without_partition_pair,-0.01581654308511493,-0.04221099872916316,0.012388384184735677,0.158,712
descriptor_ablation,X10 vs X10 - n_OP (RBF-SVC),classical,development_oof,auroc,rbf_svc,x10,rbf_svc,without_n_op,0.0015995587424157964,-0.02789276521419375,0.030759560580989078,0.547,712
descriptor_ablation,X10 vs X10 - n_OP (RBF-SVC),classical,development_oof,auprc,rbf_svc,x10,rbf_svc,without_n_op,0.04774136201210011,0.00667504664916857,0.08958200897085983,0.99,712
descriptor_ablation,X10 vs X10 - MolLogP (RBF-SVC),classical,development_oof,auroc,rbf_svc,x10,rbf_svc,without_mollogp,0.024158852730281066,0.0036904761904762028,0.04399246184960458,0.9895,712
descriptor_ablation,X10 vs X10 - MolLogP (RBF-SVC),classical,development_oof,auprc,rbf_svc,x10,rbf_svc,without_mollogp,0.014821345906302574,-0.00973804235254651,0.03935394015307014,0.8795,712
descriptor_ablation,X10 vs X10 - LiPHEX (RBF-SVC),classical,development_oof,auroc,rbf_svc,x10,rbf_svc,without_liphex,0.031191395477109696,0.0020474811546240357,0.061770086412943424,0.984,712
descriptor_ablation,X10 vs X10 - LiPHEX (RBF-SVC),classical,development_oof,auprc,rbf_svc,x10,rbf_svc,without_liphex,0.04520508319861194,0.004801513363243375,0.08860753670125475,0.986,712
descriptor_ablation,X10 vs X10 - both partition descriptors (RBF-SVC),classical,development_oof,auroc,rbf_svc,x10,rbf_svc,without_partition_pair,0.046920389777532545,0.013280704173561355,0.07921791689648833,0.9965,712
descriptor_ablation,X10 vs X10 - both partition descriptors (RBF-SVC),classical,development_oof,auprc,rbf_svc,x10,rbf_svc,without_partition_pair,0.10052816606097181,0.04521269059946602,0.15779400608523755,0.9995,712
descriptor_ablation,X10 vs X10 - n_OP (Random forest),classical,development_oof,auroc,random_forest,x10,random_forest,without_n_op,0.05203621989336271,0.02843548906048896,0.0759314671814672,1.0,712
descriptor_ablation,X10 vs X10 - n_OP (Random forest),classical,development_oof,auprc,random_forest,x10,random_forest,without_n_op,0.13050934864928654,0.08656778800415396,0.17304069504922814,1.0,712
descriptor_ablation,X10 vs X10 - MolLogP (Random forest),classical,development_oof,auroc,random_forest,x10,random_forest,without_mollogp,0.01122448979591828,-0.005019764662621703,0.0289633894098178,0.901,712
descriptor_ablation,X10 vs X10 - MolLogP (Random forest),classical,development_oof,auprc,random_forest,x10,random_forest,without_mollogp,-0.006090304836578353,-0.02355047689961061,0.012231946385900071,0.262,712
descriptor_ablation,X10 vs X10 - LiPHEX (Random forest),classical,development_oof,auroc,random_forest,x10,random_forest,without_liphex,-0.003713917999632277,-0.017154463136605905,0.009316855120426426,0.286,712
descriptor_ablation,X10 vs X10 - LiPHEX (Random forest),classical,development_oof,auprc,random_forest,x10,random_forest,without_liphex,3.922374698372977e-05,-0.014821055517323005,0.016225918612563096,0.48,712
descriptor_ablation,X10 vs X10 - both partition descriptors (Random forest),classical,development_oof,auroc,random_forest,x10,random_forest,without_partition_pair,0.009321566464423503,-0.010916988416988448,0.029150808972237457,0.812,712
descriptor_ablation,X10 vs X10 - both partition descriptors (Random forest),classical,development_oof,auprc,random_forest,x10,random_forest,without_partition_pair,0.009036329721072267,-0.014038735059004036,0.030950267079178695,0.752,712
